Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
,Tyler Dunbar,Union,D,Jr,32,12,17,29,0.91,35,112,2,2,0,12,48,0,0,
,Ty Hanson,Minnesota-Duluth,D,So,32,8,21,29,0.91,14,103,2,1,0,14,38,0,0,
,Brandon Holt,Maine,D,Sr,31,5,24,29,0.94,6,62,1,1,0,15,41,0,0,
,Gavin Morrissey,Wisconsin,F,So,29,6,23,29,1,2,46,3,3,0,3,17,357,263,57.6
,Kai Daniells,Princeton,F,Jr,28,15,14,29,1.04,8,95,4,2,0,12,9,166,190,46.6
,Justin Poirier,Maine,F,Fr,27,18,11,29,1.07,12,97,1,7,0,3,9,0,0,
,Aiden Fink,Penn State,F,Jr,23,6,23,29,1.26,18,79,1,2,0,1,6,14,7,66.7
64,Barrett Hall,St. Cloud State,F,Jr,34,10,18,28,0.82,20,96,2,6,1,-5,18,5,16,23.8
,Aaron Schwartz,Quinnipiac,F,So,33,7,21,28,0.85,12,70,1,2,0,8,17,0,2,0
,Mikey Adamson,Sacred Heart,D,Sr,32,4,24,28,0.88,18,71,1,1,0,-7,32,0,0,
,Evan Werner,Notre Dame,F,Jr,32,15,13,28,0.88,12,112,0,6,0,-14,8,1,3,25
,Nathan Pilling,St. Thomas,F,Fr,32,14,14,28,0.88,46,121,2,5,3,10,29,301,269,52.8
,Brandon Buhr,Union,F,Sr,30,17,11,28,0.93,10,96,5,7,0,-4,14,2,4,33.3
,Cole Reschny,North Dakota,F,Fr,28,4,24,28,1,14,54,1,0,0,9,4,243,189,56.3
,Adam Flammang,Bemidji State,F,Sr,27,8,20,28,1.04,34,80,1,4,0,2,19,0,2,0
72,Brett Meerman,Augustana,F,Jr,33,13,14,27,0.82,10,54,4,7,0,14,9,6,3,66.7
,Sutter Muzzatti,Notre Dame,F,Sr,32,11,16,27,0.84,40,84,0,3,1,-19,13,264,258,50.6
,Dylan James,North Dakota,F,Sr,32,17,10,27,0.84,8,81,2,6,2,14,17,0,9,0
,Tyler Hotson,Bowling Green,F,Jr,32,11,16,27,0.84,37,64,1,5,0,12,11,12,10,54.5
,Stephen Castagna,Bentley,F,Sr,32,11,16,27,0.84,23,81,0,4,0,10,12,109,131,45.4
,Christian Fitzgerald,Wisconsin,F,Sr,32,15,12,27,0.84,22,87,3,9,1,-5,23,85,73,53.8
,Ben Doran,Bowling Green,F,Jr,32,7,20,27,0.84,38,71,2,3,0,9,17,300,252,54.3
,Parker Lalonde,Merrimack,F,Fr,30,10,17,27,0.9,12,59,2,0,2,7,26,236,247,48.9
,Ryan Tattle,Connecticut,F,Sr,30,11,16,27,0.9,32,104,1,3,1,10,14,261,262,49.9
,Cole Hutson,Boston University,D,So,30,9,18,27,0.9,20,131,4,0,0,11,36,0,0,
,Olivier Houde,Lindenwood,F,Fr,28,12,15,27,0.96,26,88,1,3,0,14,9,23,40,36.5
