Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
,Anthony Vincent,Long Island,F,Sr,36,17,20,37,1.0278,78,145,0,3,1,0,47,5,7,41.7
,Cutter Gauthier,Boston College,F,Fr,32,16,21,37,1.1563,37,130,0,7,0,2,9,209,229,47.7
41,Keaton Mastrodonato,Canisius,F,Sr,42,16,20,36,0.8571,30,134,3,4,2,-4,21,3,11,21.4
,Zach Okabe,St. Cloud State,F,Sr,41,18,18,36,0.878,24,117,5,5,0,16,15,10,9,52.6
,Veeti Miettinen,St. Cloud State,F,Jr,41,12,24,36,0.878,0,138,5,7,0,9,19,0,0,
,T.J. Hughes,Michigan,F,Fr,39,13,23,36,0.9231,10,80,3,5,0,6,18,261,207,55.8
,Lynden Breen,Maine,F,Jr,36,21,15,36,1,22,118,3,4,4,10,23,330,340,49.3
,Justin Hryckowian,Northeastern,F,So,35,15,21,36,1.0286,26,102,4,4,0,21,23,471,331,58.7
,Matthew Coronato,Harvard,F,So,34,20,16,36,1.0588,14,141,5,7,1,24,9,245,236,50.9
48,Ryan Miotto,Canisius,F,Sr,42,17,18,35,0.8333,29,98,5,8,1,6,29,412,401,50.7
,Matt Verboon,Colgate,F,Sr,40,16,19,35,0.875,23,120,2,6,0,-3,12,85,73,53.8
,Jake Livingstone,Minnesota State,D,Jr,39,8,27,35,0.8974,30,96,2,3,0,10,53,0,0,
,Blake Bennett,American Int'l,F,Sr,38,22,13,35,0.9211,35,139,2,8,0,0,14,0,1,0
,Jackson LaCombe,Minnesota,D,Sr,37,9,26,35,0.9459,13,73,0,2,0,12,53,0,0,
53,Casey Dornbach,Denver,F,Sr,40,13,21,34,0.85,29,76,1,4,0,11,4,17,30,36.2
,Mike Benning,Denver,D,Jr,39,13,21,34,0.8718,38,101,0,7,0,24,28,0,1,0
,Nicolas Muller,Michigan State,F,Sr,38,9,25,34,0.8947,16,62,0,2,0,4,18,270,346,43.8
,Jack Randl,Omaha,F,Sr,37,18,16,34,0.9189,22,117,4,6,1,13,38,3,1,75
,Nikita Nesterenko,Boston College,F,Jr,36,13,21,34,0.9444,18,110,1,4,0,6,9,1,2,33.3
,Adam Goodsir,Long Island,F,Sr,35,15,19,34,0.9714,64,124,1,7,0,-11,34,229,266,46.3
,Matthew Wood,Connecticut,F,Fr,35,11,23,34,0.9714,4,102,1,3,0,7,5,1,5,16.7
,Cruz Lucius,Wisconsin,F,Fr,34,11,23,34,1,18,96,2,4,1,-7,4,0,0,
61,Chris Jandric,North Dakota,D,Gr,39,4,29,33,0.8462,30,65,1,2,0,16,36,0,0,
,Mathieu Gosselin,Clarkson,F,Sr,37,14,19,33,0.8919,23,98,4,2,0,7,22,408,313,56.6
,Max Itagaki,Army,F,Fr,37,4,29,33,0.8919,28,76,1,1,0,-13,8,0,2,0
64,Jack Ricketts,Holy Cross,F,Jr,41,16,16,32,0.7805,32,140,4,3,1,-1,37,8,12,40
,Skyler Brind'Amour,Quinnipiac,F,Sr,41,14,18,32,0.7805,27,97,3,7,0,25,30,500,344,59.2
,Dylan Duke,Michigan,F,So,41,18,14,32,0.7805,43,98,1,6,0,10,28,35,34,50.7
,Mason Lohrei,Ohio State,D,So,40,4,28,32,0.8,26,95,0,2,0,-3,57,2,2,50
,Gianfranco Cassaro,RIT,D,Jr,39,14,18,32,0.8205,42,132,2,6,0,19,28,1,0,100
,Jay O'Brien,Boston University,F,Sr,39,8,24,32,0.8205,42,102,1,5,0,-1,14,271,236,53.5
,Artem Shlaine,Northern Michigan,F,Jr,38,11,21,32,0.8421,18,86,1,4,1,6,16,389,275,58.6
,Luke Grainger,Western Michigan,F,Jr,38,12,20,32,0.8421,12,60,0,2,1,18,14,259,281,48
,Jeremy Wilmer,Boston University,F,Fr,37,9,23,32,0.8649,16,55,0,3,0,4,7,1,1,50
,Aiden Hansen-Bukata,RIT,D,Jr,37,2,30,32,0.8649,24,55,1,0,0,19,69,0,0,
,Eric Esposito,Mercyhurst,F,Gr,35,17,15,32,0.9143,14,66,1,4,1,-1,23,11,14,44
,AJ Vanderbeck,Northern Michigan,F,Jr,35,13,19,32,0.9143,33,148,3,4,3,-5,7,1,3,25
,Hudson Schandor,Connecticut,F,Jr,35,11,21,32,0.9143,8,75,4,2,0,10,20,315,344,47.8
,Aidan Thompson,Denver,F,Fr,32,10,22,32,1,4,73,2,3,0,15,9,231,225,50.7
,Cade Mason,Long Island,D,Fr,26,7,25,32,1.2308,8,59,1,5,0,8,17,0,0,
79,Casey Carreau,Niagara,F,Gr,40,10,21,31,0.775,16,105,1,4,0,2,26,3,4,42.9
,Bryce Brodzinski,Minnesota,F,Sr,40,19,12,31,0.775,12,110,2,2,0,15,8,8,7,53.3
,Kevin Wall,Penn State,F,Sr,39,17,14,31,0.7949,16,122,3,1,1,20,35,1,1,50
,Ryland Mosley,Michigan Tech,F,Jr,39,12,19,31,0.7949,13,120,4,3,3,5,11,2,4,33.3
,Ryan Greene,Boston University,F,Fr,38,9,22,31,0.8158,20,70,1,3,0,18,18,222,257,46.3
,Jack Devine,Denver,F,So,38,14,17,31,0.8158,19,90,4,6,0,18,10,6,5,54.5
,Jordan Biro,American Int'l,F,Jr,38,11,20,31,0.8158,2,111,2,2,0,-3,6,8,6,57.1
,Domenick Fensore,Boston University,D,Sr,37,9,22,31,0.8378,30,122,3,4,0,13,41,2,0,100
,Wilmer Skoog,Boston University,F,Sr,37,16,15,31,0.8378,28,110,4,1,0,13,25,274,280,49.5
,Chase Gresock,Bowling Green,F,Gr,36,11,20,31,0.8611,12,112,0,2,0,4,18,5,11,31.3
,Lleyton Roed,Bemidji State,F,Fr,36,13,18,31,0.8611,6,105,1,3,0,-1,14,26,34,43.3
,Scott Morrow,Massachusetts,D,So,35,9,22,31,0.8857,16,111,2,4,1,-3,45,0,0,
,Henry Thrun,Harvard,D,Sr,33,7,24,31,0.9394,14,100,0,2,1,20,40,0,0,
92,Daniel Russell,Michigan State,F,Fr,38,8,22,30,0.7895,29,90,2,1,0,8,19,0,0,
,Neil Shea,Sacred Heart,F,Sr,37,14,16,30,0.8108,12,133,1,4,0,1,12,2,1,66.7
,Ryan O'Hara,Bowling Green,F,So,36,11,19,30,0.8333,25,97,3,4,0,9,9,21,21,50
,Mathieu De St. Phalle,Wisconsin,F,Jr,36,13,17,30,0.8333,20,126,2,4,0,-11,14,2,1,66.7
,Gunnarwolfe Fontaine,Northeastern,F,Jr,35,10,20,30,0.8571,8,82,0,1,0,2,16,5,5,50
,Ryan Tverberg,Connecticut,F,Jr,35,15,15,30,0.8571,34,90,3,4,0,0,13,82,119,40.8
,Gabriel Seger,Cornell,F,Jr,30,7,23,30,1,19,44,1,5,0,5,5,300,172,63.6
,David Gagnon,Lindenwood,F,So,30,13,17,30,1,16,111,1,5,0,-6,17,6,9,40
100,Mike Koster,Minnesota,D,Jr,40,6,23,29,0.725,8,53,0,3,0,13,40,0,0,
,Nick Anderson,Colgate,D,Jr,40,3,26,29,0.725,39,74,1,0,0,7,43,2,1,66.7
,Ture Linden,Penn State,F,Sr,39,11,18,29,0.7436,11,100,2,3,0,7,20,427,310,57.9
,Zak Galambos,Western Michigan,D,Jr,39,11,18,29,0.7436,34,118,2,5,1,30,42,0,0,
,Christian Fitzgerald,Minnesota State,F,Fr,38,16,13,29,0.7632,16,93,2,5,0,9,18,42,41,50.6
,Ryan Sandelin,Minnesota State,F,Sr,38,14,15,29,0.7632,33,144,3,7,0,3,15,0,2,0
,Matt Copponi,Merrimack,F,So,37,14,15,29,0.7838,30,97,3,5,0,8,27,156,234,40
,Seamus Casey,Michigan,D,Fr,37,8,21,29,0.7838,9,102,0,1,0,16,24,0,1,0
,Nathan Burke,Bowling Green,F,Sr,36,17,12,29,0.8056,12,90,1,7,0,7,16,9,11,45
,Andre Gasseau,Boston College,F,Fr,36,10,19,29,0.8056,14,65,2,4,2,6,8,11,4,73.3
,Anthony Firriolo,Army,D,Sr,36,5,24,29,0.8056,18,96,2,4,0,-10,64,1,0,100
,Trevor Kuntar,Boston College,F,Jr,34,13,16,29,0.8529,36,137,2,6,0,5,16,292,217,57.4
,Ian Murphy,Princeton,F,Jr,31,15,14,29,0.9355,14,73,1,3,1,1,16,15,19,44.1
,Hunter Johannes,Lindenwood,F,Sr,28,13,16,29,1.0357,87,95,1,1,1,12,14,91,108,45.7
114,Ryan Cox,Niagara,F,Gr,40,14,14,28,0.7,38,99,3,4,0,-7,15,333,281,54.2
,Shane Ott,Niagara,F,So,40,10,18,28,0.7,6,93,2,2,0,-7,17,11,29,27.5
,Colton Young,Colgate,F,Sr,40,11,17,28,0.7,35,144,3,3,2,3,38,126,202,38.4
,Tristan Broz,Denver,F,So,40,10,18,28,0.7,35,81,2,4,0,17,9,42,48,46.7
,Brendan Furry,Minnesota State,F,Sr,39,9,19,28,0.7179,15,89,3,1,0,9,8,289,217,57.1
,Quinn Hutson,Boston University,F,Fr,39,15,13,28,0.7179,24,109,7,4,0,14,5,0,0,
,Hunter McKown,Colorado College,F,Jr,38,21,7,28,0.7368,30,140,4,14,0,-19,17,132,143,48
,Austin Magera,Sacred Heart,F,Gr,37,8,20,28,0.7568,26,105,0,2,1,6,22,350,334,51.2
,Cody Laskosky,RIT,F,Jr,37,13,15,28,0.7568,83,102,2,3,0,18,6,4,15,21.1
,Joey Baez,Army,F,So,37,21,7,28,0.7568,12,112,2,12,0,-15,8,0,0,
,Elias Rosén,Bemidji State,D,Sr,36,4,24,28,0.7778,18,75,0,0,0,1,53,0,0,
,John Keranen,Army,F,Sr,36,11,17,28,0.7778,40,67,4,4,0,-9,23,456,392,53.8
,Ben Steeves,Minnesota-Duluth,F,Fr,35,21,7,28,0.8,36,125,3,12,0,-11,7,0,0,
,Dominic James,Minnesota-Duluth,F,So,35,10,18,28,0.8,20,89,1,3,1,-6,18,322,271,54.3
,Ben Berard,Cornell,F,Sr,34,11,17,28,0.8235,8,92,1,1,0,3,20,0,0,
,Jonny Sorenson,Alaska,F,Gr,34,10,18,28,0.8235,19,73,0,4,1,14,24,32,40,44.4
,Payton Matsui,Alaska,F,So,34,9,19,28,0.8235,6,62,2,0,1,13,10,200,163,55.1
,Joe Miller,Harvard,F,Fr,33,13,15,28,0.8485,6,46,3,1,0,27,9,2,1,66.7
132,Ross Mitton,Colgate,F,Jr,40,9,18,27,0.675,10,72,3,1,1,1,33,26,41,38.8
,Tate Singleton,Ohio State,F,Sr,40,11,16,27,0.675,50,92,3,0,1,12,13,4,6,40
,Jaxon Nelson,Minnesota,F,Sr,40,10,17,27,0.675,10,95,4,4,0,10,37,431,324,57.1
,Connor MacEachern,Penn State,F,Sr,39,12,15,27,0.6923,30,113,3,2,0,10,23,392,282,58.2
,Kyle Kukkonen,Michigan Tech,F,Fr,39,18,9,27,0.6923,18,125,5,5,2,1,15,1,3,25
,Karsen Dorwart,Michigan State,F,Fr,38,10,17,27,0.7105,8,108,2,4,0,10,12,322,410,44
,Akito Hirose,Minnesota State,D,Jr,38,4,23,27,0.7105,18,79,2,2,0,10,39,0,0,
,Brock Faber,Minnesota,D,Jr,38,4,23,27,0.7105,12,39,1,0,0,29,54,0,0,
,Tyler Weiss,Omaha,F,Gr,37,6,21,27,0.7297,26,63,2,1,0,6,9,0,1,0
,Joey Larson,Northern Michigan,F,Fr,36,13,14,27,0.75,14,103,2,6,0,-1,22,2,1,66.7
,Luc Salem,St. Lawrence,D,Jr,36,10,17,27,0.75,28,72,4,1,1,12,45,0,0,
,Carl Berglund,Mass.-Lowell,F,Sr,36,12,15,27,0.75,12,112,1,2,0,7,15,172,153,52.9
,Justin Pearson,Connecticut,F,Gr,35,13,14,27,0.7714,29,97,2,4,0,1,20,2,6,25
,Patriks Marcinkevics,Long Island,F,Fr,24,6,21,27,1.125,23,64,1,2,0,5,6,14,16,46.7
146,Alex DiPaolo,Colgate,F,So,40,11,15,26,0.65,24,53,1,4,0,0,13,354,281,55.7
,Ryan Naumovski,Niagara,F,Sr,40,9,17,26,0.65,10,79,2,3,0,-2,23,30,43,41.1
,Ben Brar,Merrimack,F,Sr,38,14,12,26,0.6842,39,95,4,3,0,10,31,2,1,66.7
,Kristof Papp,Northern Michigan,F,So,38,11,15,26,0.6842,21,64,1,5,0,-4,30,118,79,59.9
,Parker Ford,Providence,F,Sr,37,12,14,26,0.7027,22,120,1,2,1,18,14,448,317,58.6
,Willie Reim,Air Force,F,Sr,36,11,15,26,0.7222,34,116,2,3,0,-8,5,90,58,60.8
,Ben Poisson,Maine,F,Sr,36,9,17,26,0.7222,27,85,1,3,0,7,14,12,9,57.1
,Mack Byers,St. Thomas,F,Fr,36,18,8,26,0.7222,6,79,3,4,1,4,24,318,354,47.3
,Jonny Tychonick,Omaha,D,Gr,35,8,18,26,0.7429,24,69,1,3,0,8,31,0,0,
,Sam Malinski,Cornell,D,Sr,34,8,18,26,0.7647,29,81,1,3,1,10,38,0,0,
,Kenny Connors,Massachusetts,F,Fr,32,9,17,26,0.8125,8,68,2,3,1,0,26,210,245,46.2
157,David Melaragni,Canisius,D,Sr,41,4,21,25,0.6098,24,75,0,1,0,1,36,0,0,
,Rhett Pitlick,Minnesota,F,So,40,11,14,25,0.625,18,64,0,1,0,17,8,0,1,0
,Liam McLinskey,Holy Cross,F,So,40,21,4,25,0.625,22,85,6,6,0,0,19,2,1,66.7
,Andy Carroll,Minnesota State,D,Sr,39,5,20,25,0.641,6,80,1,3,0,4,33,0,0,
,Ottoville Leppanen,Merrimack,F,Gr,38,6,19,25,0.6579,10,49,1,0,0,6,16,3,3,50
,David Keefer,Northern Michigan,F,Sr,38,15,10,25,0.6579,8,72,5,4,0,-8,19,270,251,51.8
,Kyler Kupka,St. Cloud State,F,Sr,35,10,15,25,0.7143,10,66,2,5,0,-1,19,3,4,42.9
,Ty Mueller,Omaha,F,So,34,12,13,25,0.7353,4,77,2,4,0,9,13,244,253,49.1
,Matthew Barbolini,Miami,F,Jr,34,10,15,25,0.7353,42,62,1,4,0,-11,29,27,31,46.6
,Matt Miller,Omaha,F,Jr,34,13,12,25,0.7353,32,79,2,4,1,11,15,0,3,0
,Alex Campbell,Clarkson,F,Jr,33,14,11,25,0.7576,8,84,3,6,1,1,22,1,0,100
,Dylan Anhorn,St. Cloud State,D,Sr,23,5,20,25,1.087,12,36,1,1,0,15,30,0,0,
169,Albin Nilsson,Niagara,F,Sr,40,10,14,24,0.6,49,76,1,2,1,5,31,137,133,50.7
,Jack Peart,St. Cloud State,D,So,39,3,21,24,0.6154,24,54,0,0,0,14,42,0,0,
,Cole Gallant,Western Michigan,F,Gr,39,6,18,24,0.6154,4,63,2,1,0,17,23,0,0,
,Carter Randklev,Niagara,F,Jr,38,13,11,24,0.6316,16,79,2,4,0,-3,26,0,0,
,Quinn Olson,Minnesota-Duluth,F,Sr,37,7,17,24,0.6486,32,71,1,2,0,-4,11,1,0,100
,Cameron Berg,Omaha,F,So,37,10,14,24,0.6486,38,128,1,4,0,-5,22,143,128,52.8
,Brett Abdelnour,Army,F,Sr,37,10,14,24,0.6486,20,63,1,5,0,-10,12,0,0,
,Max Crozier,Providence,D,Sr,37,3,21,24,0.6486,33,100,1,1,0,10,61,0,0,
,Connor McMenamin,Penn State,F,Sr,37,9,15,24,0.6486,14,79,2,0,0,6,18,0,0,
,Jagger Joshua,Michigan State,F,Sr,37,13,11,24,0.6486,92,76,2,7,0,0,21,3,7,30
,Ricky Lyle,Army,F,Jr,37,13,11,24,0.6486,43,88,1,1,1,1,27,48,69,41
,Taylor Schneider,Bowling Green,F,Sr,36,11,13,24,0.6667,12,73,0,3,2,3,23,331,392,45.8
,Louis Boudon,Lake Superior,F,Sr,36,10,14,24,0.6667,18,113,0,5,1,-6,23,444,463,49
,Kevin Lombardi,Sacred Heart,F,Sr,36,12,12,24,0.6667,23,107,3,1,0,6,7,0,3,0
,Brett Berard,Providence,F,Jr,36,10,14,24,0.6667,35,129,2,2,0,5,13,0,0,
,Brandon Koch,Air Force,D,Sr,36,6,18,24,0.6667,36,88,0,4,0,-7,36,0,1,0
,Liam Devlin,New Hampshire,F,So,35,12,12,24,0.6857,18,86,1,7,0,-13,22,1,2,33.3
,Sam Colangelo,Northeastern,F,Jr,35,9,15,24,0.6857,12,84,2,3,0,-4,9,3,2,60
,Marcus Joughin,Sacred Heart,F,Fr,35,8,16,24,0.6857,12,45,1,1,0,-1,7,214,231,48.1
,Andrew Lucas,Connecticut,D,Jr,35,2,22,24,0.6857,6,72,1,1,0,3,17,1,0,100
,Luke Rowe,Air Force,D,Jr,33,7,17,24,0.7273,37,87,1,2,0,-10,36,0,0,
,Ryan Ufko,Massachusetts,D,So,32,8,16,24,0.75,25,68,0,4,0,-12,48,0,0,
,Liam Gorman,Princeton,F,Sr,32,12,12,24,0.75,33,74,1,4,2,2,8,78,72,52
192,Adam Ingram,St. Cloud State,F,Fr,41,8,15,23,0.561,20,46,2,3,0,0,20,39,58,40.2
,Matthew Guerra,Holy Cross,F,Jr,41,7,16,23,0.561,28,86,0,2,0,-10,29,306,331,48
,Mason Nevers,Minnesota,F,Jr,40,10,13,23,0.575,2,55,0,3,0,15,24,2,3,40
,Devin Kaplan,Boston University,F,Fr,40,10,13,23,0.575,49,56,0,1,0,15,9,0,0,
,Dustin Manz R,American Int'l,F,Sr,39,10,13,23,0.5897,17,85,1,5,0,-1,21,416,367,53.1
,Carter King,Denver,F,So,38,11,12,23,0.6053,6,85,2,3,0,3,10,337,304,52.6
,Ty Jackson,Arizona State,F,Sr,38,6,17,23,0.6053,17,58,1,0,0,-10,13,142,188,43
,Noah Beck,Clarkson,D,Jr,37,6,17,23,0.6216,18,68,1,3,0,9,33,0,1,0
,Chayse Primeau,Notre Dame,F,Gr,37,8,15,23,0.6216,18,60,0,4,0,-1,14,349,306,53.3
,Brock Caufield,Wisconsin,F,Gr,36,11,12,23,0.6389,4,79,2,6,0,-12,23,364,291,55.6
,Alex Barber,Bowling Green,F,Sr,36,7,16,23,0.6389,34,76,1,1,1,-1,19,2,2,50
,Jacob Bengtsson,Lake Superior,D,Jr,36,1,22,23,0.6389,26,52,0,0,1,-7,53,0,0,
,Brian Kramer,American Int'l,D,Jr,35,6,17,23,0.6571,38,66,1,2,0,3,29,0,0,
,Cam Lund,Northeastern,F,Fr,35,7,16,23,0.6571,16,88,1,1,0,1,12,0,2,0
,John Prokop,Union,D,Fr,35,4,19,23,0.6571,20,53,1,1,0,-9,32,0,0,
,Wyatt Kaiser,Minnesota-Duluth,D,Jr,35,5,18,23,0.6571,48,58,1,1,0,5,34,0,0,
,Corson Ceulemans,Wisconsin,D,So,33,8,15,23,0.697,38,92,0,4,0,-5,55,0,0,
,Carter Berger,Western Michigan,D,Sr,33,5,18,23,0.697,16,46,1,1,0,14,23,0,0,
,Brady Risk,Alaska,F,So,33,13,10,23,0.697,22,106,3,4,0,10,21,38,49,43.7
,Kobe Walker,RIT,F,Gr,31,12,11,23,0.7419,6,47,2,8,0,6,28,4,1,80
,Andy Willis,Lindenwood,F,Sr,26,8,15,23,0.8846,12,51,1,0,0,8,16,19,23,45.2
213,TJ Friedmann,Quinnipiac,D,Gr,41,11,11,22,0.5366,22,50,0,1,0,15,26,357,276,56.4
,Michael Lombardi,Quinnipiac,F,Gr,41,10,12,22,0.5366,16,96,1,0,0,9,11,3,1,75
,Jason Pineo,Niagara,F,Sr,40,9,13,22,0.55,33,83,3,1,1,-7,16,393,325,54.7
,Joe Dunlap,Ohio State,F,Jr,40,13,9,22,0.55,41,110,2,0,1,3,7,1,6,14.3
,Dylan Wendt,Western Michigan,F,So,39,8,14,22,0.5641,4,64,2,1,0,2,10,0,0,
,Logan Pietila,Michigan Tech,F,Sr,39,11,11,22,0.5641,10,103,1,2,1,7,25,346,388,47.1
,Julius Janhonen,American Int'l,F,Jr,38,8,14,22,0.5789,24,77,1,4,0,1,23,284,305,48.2
,Trevor Janicke,Notre Dame,F,Sr,37,8,14,22,0.5946,12,95,1,3,1,1,21,98,126,43.8
,Cristophe Tellier,Quinnipiac,F,So,37,8,14,22,0.5946,6,57,1,2,0,9,11,0,0,
,Todd Goehring,Sacred Heart,F,Gr,37,11,11,22,0.5946,6,80,1,5,0,-17,15,1,2,33.3
,Eamon Powell,Boston College,D,Jr,36,5,17,22,0.6111,16,58,0,3,0,7,60,0,0,
,Sutter Muzzatti,RPI,F,Fr,35,7,15,22,0.6286,42,54,1,2,0,-3,13,192,230,45.5
,Noah Laba,Colorado College,F,Fr,35,11,11,22,0.6286,48,56,0,3,1,-18,13,299,246,54.9
,Will Gavin,Air Force,F,Jr,35,11,11,22,0.6286,27,139,1,2,0,-15,6,1,2,33.3
,Chase Dubois,Alaska,F,So,34,11,11,22,0.6471,6,65,2,5,0,9,4,0,0,
,Ross Armour,Bemidji State,F,Gr,32,14,8,22,0.6875,30,70,1,7,0,1,16,311,386,44.6
,Nicholas Niemo,Bentley,F,Fr,32,8,14,22,0.6875,33,53,2,1,0,7,13,4,2,66.7
,Nicholas Cardelli,American Int'l,F,Gr,31,11,11,22,0.7097,12,64,2,5,0,14,11,1,2,33.3
,Max Andreev,Cornell,F,Sr,31,6,16,22,0.7097,24,54,2,5,0,11,16,273,238,53.4
,Ryan Mahshie,RPI,F,Sr,31,15,7,22,0.7097,6,83,0,3,0,0,18,0,9,0
,Tanner Palocsik,Dartmouth,D,Sr,30,4,18,22,0.7333,22,75,0,0,0,-13,27,0,1,0
,Reed Lebster,Massachusetts,F,Sr,30,8,14,22,0.7333,6,57,1,5,0,-7,10,22,19,53.7
,Jakob Lee,RPI,F,Jr,28,10,12,22,0.7857,61,48,1,4,0,-1,21,257,248,50.9
,Maximilion Helgeson,Alaska-Anchorage,F,So,28,11,11,22,0.7857,18,80,0,2,0,-2,15,92,132,41.1
237,Ty Gallagher,Boston University,D,So,40,3,18,21,0.525,24,88,1,0,0,21,56,0,0,
,Randy Hernandez,Canisius,F,Jr,40,8,13,21,0.525,6,74,1,2,0,-4,11,2,1,66.7
,Davis Burnside,Ohio State,F,Fr,40,14,7,21,0.525,26,86,0,0,2,6,16,5,6,45.5
,Cole McWard,Ohio State,D,So,39,9,12,21,0.5385,8,96,2,4,0,-5,57,1,3,25
,Shai Buium,Denver,D,So,38,4,17,21,0.5526,18,66,1,3,0,8,32,0,1,0
,Luke Mittelstadt,Minnesota,D,Fr,38,5,16,21,0.5526,6,56,1,3,0,22,33,0,0,
,Jeremy Davidson,Michigan State,F,Jr,38,10,11,21,0.5526,20,74,0,3,0,0,22,1,1,50
,Jacob Schmidt-Svejstrup,Clarkson,F,Gr,37,9,12,21,0.5676,56,60,1,0,0,11,9,1,1,50
,Dylan Jackson,Arizona State,F,Sr,37,12,9,21,0.5676,27,79,2,3,0,-10,8,5,6,45.5
,Luc Laylin,St. Thomas,F,Fr,36,10,11,21,0.5833,29,69,1,6,0,-12,12,26,45,36.6
,Josh Eernisse,St. Thomas,F,Fr,36,14,7,21,0.5833,54,80,3,2,1,-3,40,10,14,41.7
,Stepan Pokorny,Ferris State,F,Jr,36,6,15,21,0.5833,33,79,1,1,0,-2,31,324,327,49.8
,Clayton Cosentino,Air Force,F,So,36,6,15,21,0.5833,10,52,3,1,0,-19,31,442,282,61
,Colby Ambrosio,Boston College,F,Jr,36,10,11,21,0.5833,16,83,0,1,0,-2,7,93,112,45.4
