Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
1,Adam Fantilli,Michigan,F,Fr,36,30,35,65,1.8056,67,145,4,10,0,31,13,314,287,52.2
2,Logan Cooley,Minnesota,F,Fr,39,22,38,60,1.5385,42,100,6,2,0,38,10,296,273,52
3,Collin Graf,Quinnipiac,F,So,41,21,38,59,1.439,4,117,4,8,0,31,19,0,1,0
4,Sean Farrell,Harvard,F,Jr,34,20,33,53,1.5588,12,107,4,4,2,21,10,0,5,0
5,Jimmy Snuggerud,Minnesota,F,Fr,40,21,29,50,1.25,42,149,3,8,0,35,20,5,6,45.5
6,Ryan McAllister,Western Michigan,F,Fr,39,13,36,49,1.2564,14,118,0,4,0,21,6,0,0,
7,Luke Hughes,Michigan,D,So,39,10,38,48,1.2308,26,135,3,1,1,24,35,0,0,
,Lane Hutson,Boston University,D,Fr,39,15,33,48,1.2308,26,116,5,2,0,25,45,0,0,
9,Matt Brown,Boston University,F,Sr,39,16,31,47,1.2051,6,112,3,5,0,15,3,12,12,50
,Jason Polin,Western Michigan,F,Sr,39,30,17,47,1.2051,13,152,4,6,2,26,19,4,5,44.4
11,Massimo Rizzo,Denver,F,So,38,17,29,46,1.2105,14,121,2,5,0,24,23,332,311,51.6
12,Austen Swankler,Bowling Green,F,So,35,19,25,44,1.2571,43,93,3,4,0,13,6,218,225,49.2
13,Mackie Samoskevich,Michigan,F,So,39,20,23,43,1.1026,28,133,2,6,0,5,13,25,26,49
,Sam Lipkin,Quinnipiac,F,Fr,39,14,29,43,1.1026,14,100,3,3,0,33,12,31,19,62
15,Matthew Knies,Minnesota,F,So,40,21,21,42,1.05,29,131,7,6,2,31,16,8,8,50
,Jackson Blake,North Dakota,F,Fr,39,16,26,42,1.0769,16,99,2,6,0,-1,17,0,1,0
,Robert Mastrosimone,Arizona State,F,Sr,38,11,31,42,1.1053,31,161,4,4,1,4,33,145,134,52
,Max Sasson,Western Michigan,F,So,38,15,27,42,1.1053,18,106,4,5,0,20,21,385,419,47.9
,Alex Laferriere,Harvard,F,Jr,34,21,21,42,1.2353,20,150,5,7,0,13,19,1,4,20
20,Stephen Halliday,Ohio State,F,Fr,40,9,32,41,1.025,19,105,1,7,0,7,24,127,218,36.8
,Alex Jefferies,Merrimack,F,Jr,38,14,27,41,1.0789,16,137,4,2,2,9,18,0,3,0
22,Ethan de Jong,Quinnipiac,F,Gr,41,19,21,40,0.9756,8,94,5,7,2,25,38,2,3,40
,Jami Krannila,St. Cloud State,F,Sr,41,21,19,40,0.9756,43,122,2,7,1,23,22,282,297,48.7
,Carter Wilkie,RIT,F,So,39,14,26,40,1.0256,78,120,2,5,1,9,25,457,401,53.3
25,Alex Young,Colgate,F,Jr,40,21,18,39,0.975,37,102,3,9,0,1,20,174,163,51.6
,Jake Wise,Ohio State,F,Gr,40,12,27,39,0.975,10,103,0,9,0,5,17,493,442,52.7
,David Silye,Minnesota State,F,Jr,39,23,16,39,1,25,90,2,12,0,2,12,451,274,62.2
,Rutger McGroarty,Michigan,F,Fr,39,18,21,39,1,18,116,0,6,0,15,18,2,8,20
29,Gavin Brindley,Michigan,F,Fr,41,12,26,38,0.9268,22,127,3,1,0,21,41,176,261,40.3
,Jacob Quillan,Quinnipiac,F,So,41,19,19,38,0.9268,12,96,6,2,0,37,22,217,184,54.1
,Grant Cruikshank,St. Cloud State,F,Gr,41,23,15,38,0.9268,16,98,2,8,2,5,15,476,369,56.3
,Josh Doan,Arizona State,F,So,39,16,22,38,0.9744,18,131,2,6,1,-2,12,222,242,47.8
,Andre Ghantous,Northern Michigan,F,Jr,38,13,25,38,1,32,80,1,5,0,4,19,12,13,48
,Ayrton Martino,Clarkson,F,So,37,9,29,38,1.027,30,62,1,1,0,14,8,1,0,100
,Aidan McDonough,Northeastern,F,Sr,34,20,18,38,1.1176,14,127,2,8,0,14,9,1,2,33.3
36,Carter Mazur,Denver,F,So,40,22,15,37,0.925,32,131,6,8,0,19,14,0,3,0
,Zach Metsa,Quinnipiac,D,Gr,40,9,28,37,0.925,12,103,1,4,0,34,37,0,0,
,Riese Gaber,North Dakota,F,Jr,39,20,17,37,0.9487,31,145,2,11,0,-4,21,19,15,55.9
