Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,,,,,,
,Stephen Halliday,Ohio State,F,So,38,10,26,36,0.9474,30,104,1,4,0,-2,11,239,324,42.5,,,,,,
,Jeremy Wilmer,Boston University,F,So,38,6,30,36,0.9474,19,45,1,0,0,16,5,3,0,100,,,,,,
,Isaac Howard,Michigan State,F,Jr,36,8,28,36,1,10,111,0,4,0,3,6,0,1,0,,,,,,
,Jack Williams,Northeastern,F,So,34,17,19,36,1.0588,8,86,2,7,1,0,32,320,243,56.8,,,,,,
,Luke Haymes,Dartmouth,F,So,31,18,18,36,1.1613,12,84,4,6,0,2,16,344,300,53.4,,,,,,
57,Matthew Wilde,RIT,F,Fr,40,19,16,35,0.875,16,129,3,7,0,13,4,0,0,,,,,,,
,Sam Lipkin,Quinnipiac,F,So,39,15,20,35,0.8974,37,98,1,4,2,15,16,120,70,63.2,,,,,,
,Jack Ricketts,Holy Cross,F,Sr,39,19,16,35,0.8974,78,127,4,6,2,18,25,272,217,55.6,,,,,,
,Artyom Levshunov,Michigan State,D,Fr,38,9,26,35,0.9211,44,82,2,3,0,27,24,0,0,,,,,,,
,Isaiah Fox,Long Island,F,Jr,37,14,21,35,0.9459,66,80,2,8,1,6,22,13,17,43.3,,,,,,
,Veeti Miettinen,St. Cloud State,F,Sr,37,20,15,35,0.9459,0,128,4,8,2,4,27,0,0,,,,,,,
,John Prokop,Union,D,So,36,8,27,35,0.9722,43,73,1,4,0,-8,35,0,0,,,,,,,
,Matteo Giampa,Canisius,F,Fr,36,18,17,35,0.9722,8,101,2,2,1,6,15,3,3,50,,,,,,
,Connor Milburn,Lake Superior,F,So,34,16,19,35,1.0294,30,81,2,2,1,14,24,306,362,45.8,,,,,,
66,Garrett Schifsky,Michigan,F,Fr,41,16,18,34,0.8293,16,108,0,1,1,17,20,109,135,44.7,,,,,,
,Riese Gaber,North Dakota,F,Sr,40,18,16,34,0.85,34,102,1,8,0,11,22,5,4,55.6,,,,,,
,Jimmy Snuggerud,Minnesota,F,So,39,21,13,34,0.8718,42,182,6,6,0,3,18,1,2,33.3,,,,,,
,Karsen Dorwart,Michigan State,F,So,38,15,19,34,0.8947,28,116,2,2,2,8,6,357,389,47.9,,,,,,
,Carter King,Denver,F,Jr,37,15,19,34,0.9189,2,98,2,5,4,8,17,342,327,51.1,,,,,,
,Sam Morton,Minnesota State,F,Gr,37,24,10,34,0.9189,10,151,1,9,0,8,27,433,347,55.5,,,,,,
,Ben Steeves,Minnesota-Duluth,F,So,37,24,10,34,0.9189,30,147,6,13,0,-10,6,0,0,,,,,,,
,Cruz Lucius,Wisconsin,F,So,36,13,21,34,0.9444,10,116,1,5,0,0,5,0,1,0,,,,,,
,Josh Zary,Long Island,F,So,35,20,14,34,0.9714,21,88,2,13,0,6,7,330,217,60.3,,,,,,
,Aiden Fink,Penn State,F,Fr,34,15,19,34,1,27,110,1,8,0,-3,9,10,24,29.4,,,,,,
,Dylan Hryckowian,Northeastern,F,Fr,34,7,27,34,1,22,93,2,1,1,9,7,0,0,,,,,,,
77,Miko Matikka,Denver,F,Fr,43,20,13,33,0.7674,41,111,2,6,0,15,6,0,1,0,,,,,,
,Ryland Mosley,Michigan Tech,F,Sr,40,18,15,33,0.825,10,144,5,7,0,2,23,2,2,50,,,,,,
,Oliver Moore,Minnesota,F,Fr,39,9,24,33,0.8462,8,89,2,2,0,16,11,251,267,48.5,,,,,,
,Dylan Anhorn,St. Cloud State,D,Gr,38,6,27,33,0.8684,34,83,2,1,0,14,42,0,0,,,,,,,
,Brady Risk,Alaska,F,Jr,33,13,20,33,1,16,109,2,5,0,5,14,4,11,26.7,,,,,,
82,McKade Webster,Denver,F,Sr,43,14,18,32,0.7442,54,80,5,2,0,31,15,2,4,33.3,,,,,,
,David Silye,Wisconsin,F,Gr,40,9,23,32,0.8,10,97,1,3,0,-4,23,497,341,59.3,,,,,,
,Kyler Kupka,St. Cloud State,F,Gr,38,14,18,32,0.8421,18,79,0,4,0,8,12,0,3,0,,,,,,
,Joey Larson,Michigan State,F,So,38,16,16,32,0.8421,8,131,0,8,0,6,13,1,4,20,,,,,,
,Andre Ghantous,Northern Michigan,F,Sr,34,9,23,32,0.9412,48,71,1,3,1,-3,30,19,35,35.2,,,,,,
,Matt Copponi,Merrimack,F,Jr,30,7,25,32,1.0667,48,66,0,2,0,4,31,257,270,48.8,,,,,,
88,Sean Behrens,Denver,D,Jr,44,4,27,31,0.7045,53,69,2,1,0,25,70,0,1,0,,,,,,
,Dustin Manz R,American Int'l,F,Gr,39,7,24,31,0.7949,28,87,0,2,0,1,36,459,357,56.3,,,,,,
