Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,,,,,,
,Nick Bochen,Bentley,D,Sr,35,6,18,24,0.6857,20,86,1,3,0,15,23,0,0,,,,,,,
,Riley Thompson,Alaska-Anchorage,F,Fr,34,9,15,24,0.7059,32,74,1,0,1,13,17,114,99,53.5,,,,,,
,Brent Keefer,Army,F,Fr,34,13,11,24,0.7059,30,70,0,4,0,-14,11,23,22,51.1,,,,,,
,Charlie Schoen,Arizona State,F,So,33,8,16,24,0.7273,31,45,3,2,0,5,4,0,0,,,,,,,
,Eric Pohlkamp,Bemidji State,D,Fr,32,11,13,24,0.75,18,123,3,5,0,4,47,0,0,,,,,,,
,Ryan St. Louis,Brown,F,So,30,13,11,24,0.8,4,62,3,2,0,-8,14,52,84,38.2,,,,,,
,Travis Treloar,Quinnipiac,F,Sr,30,12,12,24,0.8,14,71,2,5,0,8,10,143,135,51.4,,,,,,
,David Jacobs,Princeton,F,So,30,7,17,24,0.8,18,82,1,3,0,-3,21,61,68,47.3,,,,,,
,Brendan Gorman,Princeton,F,So,29,7,17,24,0.8276,19,58,2,2,0,5,10,126,151,45.5,,,,,,
230,Jordan Biro,American Int'l,F,Sr,39,7,16,23,0.5897,4,82,0,0,0,1,21,1,1,50,,,,,,
,Verner Miettinen,St. Cloud State,F,Fr,38,4,19,23,0.6053,8,52,2,2,0,-3,23,245,247,49.8,,,,,,
,Adam Eisele,Minnesota State,F,So,37,8,15,23,0.6216,16,96,2,1,0,3,9,302,240,55.7,,,,,,
,Devin Kaplan,Boston University,F,So,37,5,18,23,0.6216,34,49,2,1,0,9,18,0,1,0,,,,,,
,Dallas Tulik,Robert Morris,F,Gr,37,6,17,23,0.6216,24,51,1,2,1,-12,18,338,305,52.6,,,,,,
,Matthew Gleason,St. Thomas,F,Sr,37,5,18,23,0.6216,26,74,0,2,0,2,26,1,2,33.3,,,,,,
,PJ Fletcher,Miami,F,Sr,36,11,12,23,0.6389,18,79,0,2,0,-12,20,24,39,38.1,,,,,,
,Max Kouznetsov,Canisius,F,Sr,36,8,15,23,0.6389,39,63,2,3,0,-1,12,256,229,52.8,,,,,,
,Ryan Richardson,Clarkson,F,Jr,35,7,16,23,0.6571,12,62,1,2,1,7,18,63,79,44.4,,,,,,
,Steven Agriogianis,Mercyhurst,F,Sr,35,6,17,23,0.6571,8,60,0,1,0,-16,24,275,322,46.1,,,,,,
,Ben Robertson,Cornell,D,Fr,35,5,18,23,0.6571,2,76,1,2,0,19,38,0,0,,,,,,,
,Liam Robertson,Union,F,Sr,34,10,13,23,0.6765,20,39,2,7,0,-6,16,338,229,59.6,,,,,,
,Danny Nelson,Notre Dame,F,Fr,30,9,14,23,0.7667,32,92,1,3,0,5,31,344,239,59,,,,,,
,Nick Seitz,Princeton,F,Sr,30,5,18,23,0.7667,14,80,0,2,0,-3,10,0,1,0,,,,,,
,Ethan Phillips,Western Michigan,F,Gr,29,9,14,23,0.7931,12,62,1,2,0,14,9,0,0,,,,,,,
,Mac Gadowsky,Army,D,Fr,28,4,19,23,0.8214,8,60,2,0,0,-1,37,0,0,,,,,,,
,Artem Shlaine,Northern Michigan,F,Sr,27,10,13,23,0.8519,23,78,2,7,0,-5,21,315,221,58.8,,,,,,
,Alex DiPaolo,Colgate,F,Jr,26,12,11,23,0.8846,16,60,4,5,0,1,10,148,146,50.3,,,,,,
,Ian Murphy,Princeton,F,Sr,25,11,12,23,0.92,10,58,1,3,0,1,22,19,23,45.2,,,,,,
,Alex Jefferies,Merrimack,F,Sr,22,13,10,23,1.0455,19,69,4,3,0,1,11,65,111,36.9,,,,,,
250,Chase Pietila,Michigan Tech,D,Fr,40,3,19,22,0.55,60,78,1,0,0,1,52,0,0,,,,,,,
,Cooper Moore,Quinnipiac,D,Sr,39,3,19,22,0.5641,26,88,1,0,0,26,41,0,0,,,,,,,
,Jeremy Davidson,Michigan State,F,Sr,38,12,10,22,0.5789,28,66,1,0,0,9,10,1,0,100,,,,,,
,Randy Hernandez,Canisius,F,Sr,37,8,14,22,0.5946,4,83,2,4,0,-12,7,1,1,50,,,,,,
,Brandon Chabrier,Maine,D,So,37,6,16,22,0.5946,22,64,2,2,0,8,24,0,0,,,,,,,
,Tyler Hotson,RPI,F,Fr,37,13,9,22,0.5946,32,64,1,0,0,-3,12,20,20,50,,,,,,
,Thomas Freel,Maine,F,So,37,6,16,22,0.5946,8,67,1,2,1,4,18,0,1,0,,,,,,
,Kenny Connors,Massachusetts,F,So,37,7,15,22,0.5946,14,77,3,0,0,-2,34,364,390,48.3,,,,,,
,Colton Huard,New Hampshire,D,Jr,36,5,17,22,0.6111,16,85,2,3,0,1,38,0,0,,,,,,,
,Brian Carrabes,Minnesota State,F,Sr,36,10,12,22,0.6111,6,94,1,1,0,6,5,0,0,,,,,,,
,Johnny Waldron,Miami,F,So,36,9,13,22,0.6111,6,88,2,2,1,-15,29,122,163,42.8,,,,,,
,Brian Kramer,American Int'l,D,Sr,35,10,12,22,0.6286,35,66,3,1,0,10,35,0,0,,,,,,,
,Reese Laubach,Penn State,F,Fr,35,10,12,22,0.6286,48,64,1,1,1,4,27,147,240,38,,,,,,
,Ryan Walsh,Cornell,F,Fr,35,12,10,22,0.6286,21,73,5,4,0,5,9,251,241,51,,,,,,
,Michael Sacco,Army,F,Jr,34,6,16,22,0.6471,54,81,1,1,1,-22,53,244,316,43.6,,,,,,
,Morgan Winters,New Hampshire,F,So,33,10,12,22,0.6667,19,65,2,2,2,3,17,13,24,35.1,,,,,,
,Luigi Benincasa,Ferris State,F,Fr,33,6,16,22,0.6667,6,64,0,0,0,1,16,195,209,48.3,,,,,,
,Walter Zacher,Robert Morris,F,Fr,33,5,17,22,0.6667,22,82,0,0,0,-6,22,0,2,0,,,,,,
,Chase Bradley,Connecticut,F,Jr,31,11,11,22,0.7097,53,101,2,1,1,4,10,1,3,25,,,,,,
,Ryan Healey,Harvard,D,So,29,9,13,22,0.7586,12,73,1,5,0,-26,30,0,0,,,,,,,
,Caige Sterzer,Lindenwood,F,Jr,28,8,14,22,0.7857,35,59,0,0,1,-6,11,30,44,40.5,,,,,,
,Jackson Jutting,Bemidji State,F,Sr,27,10,12,22,0.8148,2,56,3,2,0,12,12,273,250,52.2,,,,,,
,John Lundy,American Int'l,F,So,26,14,8,22,0.8462,25,54,2,8,0,9,11,2,1,66.7,,,,,,
,Alfred Lindberg,American Int'l,F,Fr,20,11,11,22,1.1,6,43,2,5,0,6,7,112,118,48.7,,,,,,
274,Sam Harris,Denver,F,Fr,42,14,7,21,0.5,27,86,2,3,0,13,5,1,0,100,,,,,,
,Nick Moldenhauer,Michigan,F,Fr,41,8,13,21,0.5122,2,62,1,3,0,-2,16,1,0,100,,,,,,
,Zach Tupker,Quinnipiac,F,Gr,39,6,15,21,0.5385,24,72,2,0,2,20,38,336,288,53.8,,,,,,
,Glebs Prohorenkovs,Niagara,F,So,39,9,12,21,0.5385,21,66,0,5,1,-10,51,498,357,58.2,,,,,,
,Zak Galambos,Western Michigan,D,Gr,38,9,12,21,0.5526,39,97,4,2,0,16,45,0,0,,,,,,,
,Theo Wallberg,Ohio State,D,Fr,38,2,19,21,0.5526,16,30,0,2,0,-10,46,0,0,,,,,,,
,Tanner Andrew,RIT,F,Jr,38,6,15,21,0.5526,10,78,2,1,0,6,18,2,17,10.5,,,,,,
,Matt Shatsky,Holy Cross,D,Jr,37,2,19,21,0.5676,28,47,0,0,0,13,45,0,0,,,,,,,
,Parker Brown,Air Force,F,Sr,37,8,13,21,0.5676,27,60,0,2,0,-12,28,2,3,40,,,,,,
,Chaz Smedsrud,Union,F,Sr,37,14,7,21,0.5676,6,72,1,5,0,-8,11,7,11,38.9,,,,,,
,Aaron Huglen,Minnesota,F,Jr,37,13,8,21,0.5676,21,82,4,1,0,-6,21,237,273,46.5,,,,,,
,Jackson Reineke,Robert Morris,F,Fr,37,9,12,21,0.5676,43,71,1,3,0,-5,21,8,5,61.5,,,,,,
,Quinn Olson,Minnesota-Duluth,F,Gr,37,4,17,21,0.5676,10,59,0,1,0,-13,13,0,3,0,,,,,,
,Kaden Bohlsen,Minnesota State,F,Gr,37,11,10,21,0.5676,52,68,4,2,0,6,15,76,67,53.1,,,,,,
,Ryan Brushett,RPI,F,Gr,37,6,15,21,0.5676,14,57,0,1,0,-10,15,0,1,0,,,,,,
,Connor Kurth,Minnesota,F,So,37,7,14,21,0.5676,14,68,0,0,0,-5,14,0,1,0,,,,,,
,Nick Anderson,Colgate,D,Sr,36,2,19,21,0.5833,35,59,0,0,0,2,37,1,0,100,,,,,,
,Travis Shoudy,Ferris State,D,So,36,4,17,21,0.5833,14,83,1,1,0,-8,43,0,0,,,,,,,
,Tanner Adams,Providence,F,Fr,35,6,15,21,0.6,6,63,2,2,0,1,7,5,4,55.6,,,,,,
,John Driscoll,Army,D,So,35,5,16,21,0.6,16,52,0,2,0,-18,65,0,0,,,,,,,
,Ondrej Psenicka,Cornell,F,Jr,35,9,12,21,0.6,30,56,1,2,0,13,29,5,9,35.7,,,,,,
,Scout Truman,Mass.-Lowell,F,So,35,7,14,21,0.6,18,95,1,0,1,2,14,0,4,0,,,,,,
,Connor McMenamin,Minnesota-Duluth,F,Gr,35,6,15,21,0.6,12,67,1,1,0,-9,17,0,0,,,,,,,
,Hudson Schandor,Connecticut,F,Sr,34,5,16,21,0.6176,31,66,1,1,0,9,17,378,319,54.2,,,,,,
,Ty Daneault,Merrimack,F,Fr,34,13,8,21,0.6176,33,88,0,4,0,-5,15,3,6,33.3,,,,,,
,Jack Richard,Niagara,F,Fr,34,10,11,21,0.6176,33,53,0,4,0,-5,14,135,168,44.6,,,,,,
,Marcus Joughin,Sacred Heart,F,So,34,8,13,21,0.6176,16,47,2,5,0,-8,18,245,258,48.7,,,,,,
,Max Koskipirtti,Michigan Tech,F,Fr,33,4,17,21,0.6364,10,59,1,1,1,4,17,232,232,50,,,,,,
,Jens Richards,Vermont,F,So,32,10,11,21,0.6563,10,90,2,0,2,3,19,3,2,60,,,,,,
,Mack Byers,St. Thomas,F,So,31,13,8,21,0.6774,4,61,1,3,2,9,20,255,283,47.4,,,,,,
,Cooper Gay,St. Thomas,F,So,29,12,9,21,0.7241,28,95,4,2,1,3,9,78,108,41.9,,,,,,
,Owen Lindmark,Wisconsin,F,Gr,28,11,10,21,0.75,6,65,2,0,1,17,27,299,202,59.7,,,,,,
306,Brock Bremer,Omaha,F,Sr,40,8,12,20,0.5,46,81,2,2,0,1,7,0,1,0,,,,,,
,Drake Burgin,St. Lawrence,D,Jr,39,7,13,20,0.5128,16,74,2,2,0,-7,23,0,0,,,,,,,
,Mason Waite,St. Lawrence,D,Jr,39,4,16,20,0.5128,14,75,0,4,0,-16,47,0,0,,,,,,,
,Brett Rylance,American Int'l,F,So,38,6,14,20,0.5263,31,66,1,2,1,-5,30,299,286,51.1,,,,,,
,Luke Mittelstadt,Minnesota,D,So,38,2,18,20,0.5263,14,57,0,0,0,11,50,0,0,,,,,,,
,Shane Ott,Niagara,F,Jr,38,5,15,20,0.5263,25,93,0,1,1,3,14,33,61,35.1,,,,,,
,Brian Chambers,Arizona State,F,Gr,38,4,16,20,0.5263,35,51,2,1,0,4,23,384,371,50.9,,,,,,
,Rylee St. Onge,Robert Morris,F,Gr,38,11,9,20,0.5263,45,102,2,6,0,-18,23,39,48,44.8,,,,,,
,Aaron Pionk,Minnesota-Duluth,D,Fr,37,3,17,20,0.5405,22,88,0,1,0,-9,25,0,0,,,,,,,
,John Herrington,Lake Superior,F,Fr,37,9,11,20,0.5405,12,88,0,2,1,-5,13,106,87,54.9,,,,,,
,Matt Miller,Omaha,F,Sr,37,7,13,20,0.5405,19,64,1,3,0,-16,9,0,1,0,,,,,,
,Cole Knuble,Notre Dame,F,Fr,36,9,11,20,0.5556,12,89,3,2,0,4,21,376,344,52.2,,,,,,
,Carter Berger,Western Michigan,D,Gr,36,4,16,20,0.5556,14,78,0,1,0,14,22,0,0,,,,,,,
,Ryan Siedem,Notre Dame,D,Gr,36,3,17,20,0.5556,12,51,0,0,0,16,67,0,0,,,,,,,
,Luke Loheit,Minnesota-Duluth,F,Gr,36,10,10,20,0.5556,53,64,0,2,0,-8,23,142,201,41.4,,,,,,
,Drew Bavaro,Notre Dame,D,Jr,35,10,10,20,0.5714,38,117,3,4,0,-4,28,0,0,,,,,,,
,Benji Eckerle,Arizona State,F,Sr,35,5,15,20,0.5714,12,61,0,0,0,8,22,72,59,55,,,,,,
,Jack Works,Michigan Tech,F,Jr,35,10,10,20,0.5714,17,108,2,3,0,2,10,20,22,47.6,,,,,,
,Chase Yoder,Providence,F,Sr,35,11,9,20,0.5714,26,85,3,5,2,-3,18,360,280,56.3,,,,,,
,Dylan Peterson,Boston University,F,Sr,35,8,12,20,0.5714,73,60,3,0,0,10,21,1,1,50,,,,,,
,Josh Groll,Minnesota State,F,Sr,34,7,13,20,0.5882,15,69,2,2,0,1,12,2,9,18.2,,,,,,
,Tyson Gross,St. Cloud State,F,Fr,34,7,13,20,0.5882,16,63,0,2,0,2,20,294,280,51.2,,,,,,
,Mikey Adamson,Sacred Heart,D,So,34,4,16,20,0.5882,12,45,1,3,0,-8,38,0,0,,,,,,,
,Tomáš Mazura,St. Lawrence,F,Jr,34,6,14,20,0.5882,12,53,2,1,0,-5,8,151,201,42.9,,,,,,
,Payton Matsui,Alaska,F,Jr,34,5,15,20,0.5882,6,65,0,0,0,3,23,265,239,52.6,,,,,,
,Josh Zinger,Northern Michigan,D,So,34,3,17,20,0.5882,20,58,1,1,0,-11,22,25,25,50,,,,,,
,Ryan Beck,Colorado College,F,So,34,3,17,20,0.5882,26,31,1,0,0,4,10,18,12,60,,,,,,
,Lars Rodne,Niagara,F,Jr,34,8,12,20,0.5882,4,74,0,4,0,-9,8,0,0,,,,,,,
,Zaccharya Wisdom,Colorado College,F,Fr,33,10,10,20,0.6061,22,56,2,5,0,7,9,0,1,0,,,,,,
,CJ Foley,Dartmouth,D,Fr,32,5,15,20,0.625,10,87,1,1,1,5,38,0,0,,,,,,,
,Liam Devlin,New Hampshire,F,Jr,28,13,7,20,0.7143,37,67,2,3,0,6,9,0,0,,,,,,,
,Alexander Malinowski,American Int'l,F,So,27,9,11,20,0.7407,23,68,2,0,0,5,14,0,0,,,,,,,
,Nikita Nikora,Dartmouth,F,Fr,25,3,17,20,0.8,2,44,1,0,0,-2,16,1,3,25,,,,,,
339,Dylan James,North Dakota,F,So,40,9,10,19,0.475,12,94,2,0,0,11,29,0,2,0,,,,,,
,Matt DeBoer,Holy Cross,F,So,39,4,15,19,0.4872,65,82,1,1,0,-5,8,2,4,33.3,,,,,,
,Christophe Fillion,Quinnipiac,F,Jr,39,12,7,19,0.4872,29,65,3,3,0,11,21,4,6,40,,,,,,
,Carson Bantle,Wisconsin,F,Sr,39,14,5,19,0.4872,45,97,4,5,0,7,14,0,0,,,,,,,
,Adam Flammang,Bemidji State,F,So,38,9,10,19,0.5,24,89,2,0,0,18,25,1,0,100,,,,,,
,Austin Schwartz,Air Force,F,Jr,38,10,9,19,0.5,10,91,1,0,4,6,46,30,26,53.6,,,,,,
,Jack Hughes,Boston University,F,Jr,38,7,12,19,0.5,12,65,0,1,0,10,13,59,62,48.8,,,,,,
,Justin Paul,St. Lawrence,F,Sr,37,7,12,19,0.5135,10,85,1,2,1,-14,17,40,56,41.7,,,,,,
,Austin Jouppi,Bemidji State,F,Sr,37,2,17,19,0.5135,16,57,0,0,0,4,17,1,0,100,,,,,,
,Jackson Kunz,North Dakota,F,Jr,37,9,10,19,0.5135,4,45,1,2,0,6,12,0,1,0,,,,,,
,Evan Werner,Colorado College,F,Fr,37,6,13,19,0.5135,10,85,0,2,0,-1,14,0,0,,,,,,,
,Hunter Strand,Notre Dame,F,Jr,36,4,15,19,0.5278,2,65,0,1,1,1,10,258,235,52.3,,,,,,
,Ethan Manderville,Colgate,F,Gr,36,9,10,19,0.5278,10,52,0,3,0,2,14,2,7,22.2,,,,,,
,Luciano Wilson,Minnesota State,F,So,36,7,12,19,0.5278,14,75,1,2,0,-2,8,0,1,0,,,,,,
,Remy Parker,Long Island,F,Jr,35,13,6,19,0.5429,6,82,2,4,0,-2,11,5,7,41.7,,,,,,
,Mason Salquist,St. Cloud State,F,Jr,35,7,12,19,0.5429,27,66,0,2,0,5,25,394,290,57.6,,,,,,
,Mark Hillier,Merrimack,F,Jr,35,7,12,19,0.5429,2,46,1,1,1,-7,26,198,248,44.4,,,,,,
,Reed Lebster,Michigan State,F,Gr,35,6,13,19,0.5429,12,76,2,1,2,11,9,1,1,50,,,,,,
,Ben Brar,Merrimack,F,Gr,35,5,14,19,0.5429,20,98,0,3,0,-18,29,2,1,66.7,,,,,,
,Luke Mobley,Augustana,F,Sr,34,12,7,19,0.5588,23,63,2,3,1,-5,30,297,300,49.7,,,,,,
,Ricky Lyle,Army,F,Sr,34,10,9,19,0.5588,33,75,0,3,1,-22,44,130,193,40.2,,,,,,
,T.J. Lloyd,Alaska,D,Gr,34,3,16,19,0.5588,33,66,2,3,0,0,30,0,0,,,,,,,
,Blake Biondi,Minnesota-Duluth,F,Sr,34,8,11,19,0.5588,29,77,1,3,0,-20,6,40,52,43.5,,,,,,
,Ben Tupker,Union,F,Sr,34,9,10,19,0.5588,24,63,1,0,2,5,20,2,2,50,,,,,,
,Kristof Papp,Northern Michigan,F,Jr,34,6,13,19,0.5588,6,63,0,4,0,-3,20,166,138,54.6,,,,,,
,Cade Neilson,Alaska,F,So,31,5,14,19,0.6129,22,52,2,1,1,8,9,158,133,54.3,,,,,,
,Hunter Johannes,North Dakota,F,Gr,31,12,7,19,0.6129,29,91,1,1,2,10,11,32,20,61.5,,,,,,
,Arvils Bergmanis,Alaska,D,Jr,31,2,17,19,0.6129,39,47,0,1,0,8,33,1,1,50,,,,,,
,Will Margel,Mercyhurst,F,Jr,31,6,13,19,0.6129,10,63,0,1,0,-7,4,2,2,50,,,,,,
,Ryan Bottrill,Brown,F,So,30,3,16,19,0.6333,10,62,2,0,0,-19,15,73,104,41.2,,,,,,
,Kai Daniells,Princeton,F,Fr,30,8,11,19,0.6333,14,78,1,5,0,-11,7,147,180,45,,,,,,
,Jack Cronin,Princeton,F,Jr,26,11,8,19,0.7308,8,64,1,4,1,-11,15,3,7,30,,,,,,
371,Marshall Warren,Michigan,D,Gr,41,4,14,18,0.439,30,79,1,0,0,0,50,0,1,0,,,,,,
,Joe Palodichuk,Wisconsin,D,Fr,40,3,15,18,0.45,25,64,0,0,0,13,62,0,1,0,,,,,,
,Alec Cicero,Holy Cross,F,Sr,39,11,7,18,0.4615,35,93,2,3,0,-3,32,0,0,,,,,,,
,Grady Hobbs,RIT,F,Jr,39,10,8,18,0.4615,16,99,0,2,0,4,28,0,0,,,,,,,
,Jayden Perron,North Dakota,F,Fr,39,11,7,18,0.4615,8,98,1,3,0,-1,9,0,1,0,,,,,,
,Simon Isabelle,RIT,F,So,39,8,10,18,0.4615,29,56,1,0,2,3,18,304,269,53.1,,,,,,
,Samuel Sjolund,Western Michigan,D,So,38,3,15,18,0.4737,10,84,0,0,0,-1,21,0,0,,,,,,,
,Cullen Ferguson,Union,D,Jr,37,3,15,18,0.4865,60,80,1,2,0,3,31,0,0,,,,,,,
,Logan Will,Colorado College,F,Sr,37,7,11,18,0.4865,12,86,1,0,0,6,17,388,275,58.5,,,,,,
,Joaquim Lemay,Omaha,D,So,37,5,13,18,0.4865,18,66,3,4,0,-3,22,0,0,,,,,,,
,Cole O'Hara,Massachusetts,F,So,37,7,11,18,0.4865,18,71,0,3,0,-1,11,1,0,100,,,,,,
,Max Montes,Ohio State,F,Fr,37,9,9,18,0.4865,17,71,1,1,0,-2,10,56,78,41.8,,,,,,
,Grayson Constable,Long Island,F,Gr,37,9,9,18,0.4865,29,91,3,3,0,-1,32,11,18,37.9,,,,,,
,Frank Ireland,Stonehill,F,Jr,36,9,9,18,0.5,23,66,0,3,0,-32,19,2,17,10.5,,,,,,
,Jake Richard,Connecticut,F,Fr,36,7,11,18,0.5,6,62,1,2,0,1,15,0,1,0,,,,,,
,Stepan Pokorny,Ferris State,F,Sr,36,8,10,18,0.5,26,66,1,3,0,-13,29,340,302,53,,,,,,
,Kyle Bettens,Minnesota-Duluth,F,So,36,6,12,18,0.5,14,41,0,0,0,1,15,0,1,0,,,,,,
,Tyler Gratton,Arizona State,F,Gr,36,12,6,18,0.5,18,68,2,6,0,-7,24,41,44,48.2,,,,,,
,Guillaume Richard,Providence,D,Jr,35,3,15,18,0.5143,27,67,3,1,0,5,40,1,0,100,,,,,,
,Filip Forsmark,Merrimack,F,Gr,35,5,13,18,0.5143,25,47,1,3,0,-10,28,0,1,0,,,,,,
,Tanner Kelly,Michigan State,F,Jr,35,9,9,18,0.5143,34,64,4,0,0,13,12,8,7,53.3,,,,,,
,Hudson Malinoski,Providence,F,Fr,35,9,9,18,0.5143,29,79,2,5,0,4,16,157,199,44.1,,,,,,
,Mickey Burns,Mercyhurst,F,Sr,35,5,13,18,0.5143,14,80,1,0,0,-7,15,1,3,25,,,,,,
,Jake Schneider,Colgate,F,Fr,35,9,9,18,0.5143,12,77,0,0,0,8,16,2,1,66.7,,,,,,
,Dustin Geregach,Mercyhurst,D,Jr,34,4,14,18,0.5294,35,64,0,2,0,-13,31,1,0,100,,,,,,
,Jeremie Bucheler,Vermont,D,Gr,33,6,12,18,0.5455,27,57,0,1,0,-3,31,0,0,,,,,,,
,Ryan Mansfield,Bentley,F,Fr,31,7,11,18,0.5806,2,46,0,0,0,7,11,33,31,51.6,,,,,,
,David Chen,Yale,F,So,30,9,9,18,0.6,19,69,2,2,0,-2,13,3,7,30,,,,,,
,Tyler Kopff,Brown,F,Fr,30,6,12,18,0.6,16,94,0,1,0,-4,13,7,7,50,,,,,,
,Noah de la Durantaye,Princeton,D,Jr,29,3,15,18,0.6207,6,60,0,1,0,-9,34,0,0,,,,,,,
,Ryan O'Hara,Bowling Green,F,Jr,26,10,8,18,0.6923,12,85,1,1,0,-2,9,57,36,61.3,,,,,,
,Max Scott,Brown,F,Fr,22,7,11,18,0.8182,12,64,1,3,0,2,12,294,246,54.4,,,,,,
,Ty Jackson,Arizona State,F,Sr,21,6,12,18,0.8571,14,46,1,3,0,6,1,134,139,49.1,,,,,,
404,Louis Jamernik V,North Dakota,F,Sr,40,8,9,17,0.425,18,60,3,1,0,3,26,249,181,57.9,,,,,,
,Sam Stevens,Boston University,F,Gr,40,10,7,17,0.425,34,80,1,0,0,15,31,291,276,51.3,,,,,,
,Joe Cassetti,Western Michigan,F,Gr,38,8,9,17,0.4474,8,79,1,0,0,-2,12,5,6,45.5,,,,,,
,Jere Vaisanen,Bemidji State,F,Jr,37,9,8,17,0.4595,4,72,1,0,1,2,11,241,282,46.1,,,,,,
,William Whitelaw,Wisconsin,F,Fr,37,10,7,17,0.4595,17,123,2,0,0,3,7,1,2,33.3,,,,,,
,Nicklas Andrews,Colorado College,D,Sr,37,3,14,17,0.4595,29,49,0,1,0,4,47,0,1,0,,,,,,
,Josh Luedtke,St. Cloud State,D,Jr,37,4,13,17,0.4595,21,62,0,1,0,2,29,0,0,,,,,,,
,Pito Walton,Northeastern,D,Gr,36,5,12,17,0.4722,30,71,1,3,1,8,58,0,0,,,,,,,
,Christian Catalano,RIT,F,Fr,36,9,8,17,0.4722,60,77,2,2,0,13,9,2,0,100,,,,,,
,Owen Cole,Mass.-Lowell,F,Jr,36,10,7,17,0.4722,8,66,2,4,0,-8,12,261,292,47.2,,,,,,
,Ryan Miotto,Vermont,F,Gr,35,9,8,17,0.4857,18,59,3,0,0,-8,16,282,234,54.7,,,,,,
,Samu Salminen,Connecticut,F,So,35,7,10,17,0.4857,35,74,1,2,1,3,9,296,220,57.4,,,,,,
,Jake Hewitt,Army,F,Fr,35,7,10,17,0.4857,6,56,0,2,0,-5,12,0,1,0,,,,,,
,Trey Taylor,Clarkson,D,So,35,4,13,17,0.4857,27,86,0,0,0,20,65,1,0,100,,,,,,
,Luke Krys,Providence,D,Gr,35,6,11,17,0.4857,16,92,1,0,0,2,57,0,0,,,,,,,
,Jackson Decker,Canisius,D,Sr,35,7,10,17,0.4857,28,67,0,3,0,-2,29,0,0,,,,,,,
,Nik Hong,Army,F,Fr,35,7,10,17,0.4857,14,57,1,1,0,-6,17,310,289,51.8,,,,,,
,Kellan Hjartarson,Bentley,F,Fr,34,8,9,17,0.5,16,77,3,4,0,7,24,3,7,30,,,,,,
,Dovar Tinling,RPI,F,Jr,34,5,12,17,0.5,43,51,0,3,0,-7,10,279,278,50.1,,,,,,
,Bennett Schimek,Providence,F,So,34,8,9,17,0.5,6,70,2,3,0,8,7,2,2,50,,,,,,
,Braeden Tuck,Sacred Heart,F,Gr,33,6,11,17,0.5152,6,41,0,2,0,-3,17,7,3,70,,,,,,
,Braden Birnie,Alaska,F,So,33,3,14,17,0.5152,21,50,0,0,1,14,16,2,1,66.7,,,,,,
,Joey Musa,Dartmouth,F,Sr,32,6,11,17,0.5313,18,58,0,1,0,0,26,81,123,39.7,,,,,,
,John Fusco,Dartmouth,D,Sr,32,7,10,17,0.5313,19,69,0,4,0,-6,26,0,0,,,,,,,
,Kevin Marx-Norén,Northern Michigan,F,Fr,30,4,13,17,0.5667,14,73,1,2,0,-2,15,3,1,75,,,,,,
,Braiden Dorfman,Dartmouth,F,Jr,29,8,9,17,0.5862,36,50,0,1,0,1,6,0,1,0,,,,,,
,Sullivan Mack,Cornell,F,Jr,29,7,10,17,0.5862,2,44,1,0,1,6,7,0,1,0,,,,,,
,Raimonds Vitolins,Miami,F,Jr,28,6,11,17,0.6071,26,58,1,3,0,-2,10,227,249,47.7,,,,,,
,Sean Chisholm,Dartmouth,F,Jr,28,8,9,17,0.6071,11,72,0,3,0,9,25,235,210,52.8,,,,,,
,Nick Carabin,Princeton,D,Sr,27,5,12,17,0.6296,26,50,0,1,1,-2,20,0,0,,,,,,,
,Kyle Jeffers,Lindenwood,F,Jr,26,9,8,17,0.6538,4,42,1,0,1,-6,16,5,6,45.5,,,,,,
435,Jacob Truscott,Michigan,D,Sr,41,2,14,16,0.3902,41,62,0,1,0,5,55,0,0,,,,,,,
,Lukas Gustafsson,Boston College,D,So,41,3,13,16,0.3902,22,67,0,0,0,17,37,0,0,,,,,,,
,Nolan Sullivan,Omaha,F,Gr,40,7,9,16,0.4,40,71,0,3,0,2,16,447,298,60,,,,,,
,Nick Zabaneh,Boston University,F,Sr,40,8,8,16,0.4,36,76,1,0,3,11,19,123,150,45.1,,,,,,
,Tyler Cristall,St. Lawrence,F,So,39,7,9,16,0.4103,12,78,1,2,0,-12,10,0,0,,,,,,,
,Philippe Chapleau,St. Lawrence,D,Jr,39,5,11,16,0.4103,8,33,1,3,0,-8,33,0,0,,,,,,,
,Luke Mylymok,Niagara,F,Sr,38,9,7,16,0.4211,20,64,3,4,0,-10,24,1,6,14.3,,,,,,
,Tiernan Shoudy,Michigan State,F,So,38,4,12,16,0.4211,26,55,0,0,0,3,25,253,218,53.7,,,,,,
,Matt Basgall,Michigan State,D,So,38,1,15,16,0.4211,2,57,0,1,0,-3,61,0,0,,,,,,,
,Tyler Duke,Michigan,D,Jr,38,2,14,16,0.4211,50,59,0,0,0,12,42,0,0,,,,,,,
,Austen Long,American Int'l,F,Gr,38,8,8,16,0.4211,27,54,1,0,1,5,21,1,0,100,,,,,,
,Max Burkholder,Colorado College,D,Fr,37,7,9,16,0.4324,6,67,1,5,0,6,34,0,0,,,,,,,
,Kyle Smolen,Arizona State,F,Fr,36,7,9,16,0.4444,59,33,2,0,0,3,18,183,166,52.4,,,,,,
