Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
1,Jack Devine,Denver,F,Sr,44,13,44,57,1.2955,32,148,0,5,0,16,19,1,2,33.3
2,Aidan Thompson,Denver,F,Jr,44,21,34,55,1.25,26,164,3,7,0,16,12,37,17,68.5
3,Liam McLinskey,Holy Cross,F,Sr,40,24,30,54,1.35,18,140,2,10,1,5,20,13,18,41.9
4,Aiden Fink,Penn State,F,So,40,23,30,53,1.325,12,144,4,8,2,15,15,1,2,33.3
5,Isaac Howard,Michigan State,F,Jr,37,26,26,52,1.4054,10,169,4,5,0,19,5,0,0,
6,Cole O'Hara,Massachusetts,F,Jr,40,22,29,51,1.275,14,116,4,7,1,21,19,7,6,53.8
,Jimmy Snuggerud,Minnesota,F,Jr,40,24,27,51,1.275,29,161,2,5,0,13,12,8,19,29.6
,Ayrton Martino,Clarkson,F,Sr,39,25,26,51,1.3077,8,83,8,3,0,11,7,2,4,33.3
9,Quinn Hutson,Boston University,F,Jr,38,23,27,50,1.3158,33,148,3,7,0,17,14,2,3,40
10,Ryan Leonard,Boston College,F,So,37,30,19,49,1.3243,46,191,9,4,1,30,20,108,138,43.9
11,Zeev Buium,Denver,D,So,41,13,35,48,1.1707,44,88,4,3,0,17,50,0,0,
,Cole Hutson,Boston University,D,Fr,39,14,34,48,1.2308,64,117,4,5,1,5,44,0,0,
,Gabe Perreault,Boston College,F,So,37,16,32,48,1.2973,25,119,2,5,1,28,11,20,20,50
14,Alex Bump,Western Michigan,F,So,42,23,24,47,1.119,14,248,4,7,0,11,13,1,3,25
,Joey Muldowney,Connecticut,F,So,39,29,18,47,1.2051,12,142,6,5,1,27,18,11,21,34.4
16,Liam Malmquist,St. Thomas,F,Sr,38,20,25,45,1.1842,8,132,3,6,4,18,5,8,16,33.3
17,Carter King,Denver,F,Sr,44,21,22,43,0.9773,16,116,4,8,2,17,16,539,440,55.1
,Jake Richard,Connecticut,F,So,34,15,28,43,1.2647,16,84,3,7,0,26,13,1,1,50
