Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
1,Bobby Brink,Denver,F,Jr,41,14,43,57,1.3902,44,119,2,5,1,27,17,2,4,33.3
2,Nathan Smith,Minnesota State,F,Jr,38,19,31,50,1.3158,43,101,4,3,0,22,11,329,243,57.5
3,Julian Napravnik,Minnesota State,F,Sr,40,18,31,49,1.225,10,129,3,6,0,32,10,0,0,
,Bobby Trivigno,Massachusetts,F,Sr,37,20,29,49,1.3243,28,126,4,4,1,22,14,2,4,33.3
5,Owen Sillinger,Bemidji State,F,Sr,39,17,30,47,1.2051,41,137,3,2,0,10,15,515,425,54.8
6,Cole Guttman,Denver,F,Sr,41,19,26,45,1.0976,26,141,3,4,2,20,23,579,361,61.6
,Drew Worrad,Western Michigan,F,Sr,39,9,36,45,1.1538,20,64,2,2,0,10,27,512,428,54.5
,Carter Savoie,Denver,F,So,39,23,22,45,1.1538,37,152,6,11,0,21,8,5,2,71.4
9,Brendan Furry,Minnesota State,F,Jr,44,13,31,44,1,20,92,2,4,1,30,9,355,278,56.1
,Brian Halonen,Michigan Tech,F,Sr,37,21,23,44,1.1892,49,132,3,3,0,21,15,129,106,54.9
,Louis Boudon,Lake Superior,F,Jr,36,15,29,44,1.2222,31,92,4,5,3,11,14,389,384,50.3
,Hank Crone,Northern Michigan,F,Sr,32,13,31,44,1.375,22,69,2,4,1,7,8,1,3,25
13,Brett Stapley,Denver,F,Sr,41,18,25,43,1.0488,54,101,1,4,0,22,10,318,287,52.6
,Matty Beniers,Michigan,F,So,37,20,23,43,1.1622,16,89,5,10,0,29,28,261,274,48.8
,AJ Vanderbeck,Northern Michigan,F,Jr,36,24,19,43,1.1944,18,161,3,8,0,8,4,2,8,20
16,Alex Ierullo,Bemidji State,F,Sr,39,16,26,42,1.0769,28,111,2,3,2,14,18,0,3,0
,Brendan Brisson,Michigan,F,So,38,21,21,42,1.1053,32,114,6,6,0,17,7,11,13,45.8
,Colin Theisen,Arizona State,F,Gr,35,19,23,42,1.2,8,114,2,5,2,10,24,193,234,45.2
19,Cade Borchardt,Minnesota State,F,Jr,44,15,26,41,0.9318,18,123,5,7,0,34,15,2,2,50
,Ben Meyers,Minnesota,F,Jr,34,17,24,41,1.2059,18,96,5,2,0,16,12,349,259,57.4
21,Trenton Bliss,Michigan Tech,F,Sr,36,12,28,40,1.1111,26,95,1,5,0,14,33,237,201,54.1
,Matthew Kopperud,Arizona State,F,So,34,22,18,40,1.1765,28,127,1,13,0,-8,8,4,3,57.1
23,Ture Linden,RPI,F,Sr,44,20,19,39,0.8864,10,111,2,5,0,4,26,399,411,49.3
,Luke Hughes,Michigan,D,Fr,41,17,22,39,0.9512,10,97,1,3,0,26,25,0,0,
,Ethen Frank,Western Michigan,F,Sr,38,26,13,39,1.0263,34,142,6,10,1,15,26,1,3,25
,Taylor Ward,Omaha,F,Sr,38,19,20,39,1.0263,39,99,3,12,0,0,9,0,2,0
,Aidan McDonough,Northeastern,F,Jr,38,25,14,39,1.0263,44,104,5,6,0,13,25,1,1,50
28,Mike Benning,Denver,D,So,41,15,23,38,0.9268,14,82,5,4,0,32,34,0,0,
,Carter Mazur,Denver,F,Fr,41,14,24,38,0.9268,44,103,1,5,0,23,21,3,6,33.3
,Lukas Sillinger,Bemidji State,F,So,37,17,21,38,1.027,54,69,1,5,0,7,19,0,0,
,Brett Berard,Providence,F,So,36,18,20,38,1.0556,37,109,6,8,0,10,12,2,0,100
,Max Newton,Merrimack,F,Sr,35,14,24,38,1.0857,16,74,2,4,0,1,23,431,286,60.1
33,Zach Metsa,Quinnipiac,D,Sr,42,10,27,37,0.881,8,111,3,0,0,38,28,0,0,
,Thomas Bordeleau,Michigan,F,So,37,12,25,37,1,35,88,3,2,1,18,15,353,275,56.2
,Josh Doan,Arizona State,F,Fr,35,12,25,37,1.0571,54,74,2,4,0,9,9,111,146,43.2
,Riese Gaber,North Dakota,F,So,34,15,22,37,1.0882,28,103,3,7,0,8,18,1,0,100
,Kent Johnson,Michigan,F,So,32,8,29,37,1.1563,6,74,4,4,1,25,6,1,6,14.3
