Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,Season,Pos_Group,PtGm_pct,G_pct,A_pct,Shots_pct,PPG_pct,SHG_pct,+/-_pct,Blk_pct,FO_pct,Elite
Cade Borchardt,Minnesota State,F,Jr,44.0,15.0,26.0,41.0,0.9318,18.0,123.0,5.0,7.0,0.0,34.0,15.0,2.0,2.0,50.0,2021-22,F,95.0682056663169,95.17313746065058,98.68835257082897,98.11122770199371,98.53095487932843,43.12696747114376,100.0,65.73976915005247,61.81001283697047,True
Ben Meyers,Minnesota,F,Jr,34.0,17.0,24.0,41.0,1.2059,18.0,96.0,5.0,2.0,0.0,16.0,12.0,349.0,259.0,57.4,2021-22,F,99.26547743966422,97.27177334732424,97.53410283315844,91.9202518363064,73.29485834207765,43.12696747114376,96.11752360965372,53.46274921301154,86.45699614890886,True
Trenton Bliss,Michigan Tech,F,Sr,36.0,12.0,28.0,40.0,1.1111,26.0,95.0,1.0,5.0,0.0,14.0,33.0,237.0,201.0,54.1,2021-22,F,98.00629590766002,90.0314795383001,98.95068205666317,91.55299055613851,94.38614900314796,43.12696747114376,94.80587618048268,97.8488982161595,78.7548138639281,True
Matthew Kopperud,Arizona State,F,So,34.0,22.0,18.0,40.0,1.1765,28.0,127.0,1.0,13.0,0.0,-8.0,8.0,4.0,3.0,57.1,2021-22,F,98.63588667366213,99.47534102833158,92.9171038824764,98.37355718782791,100.0,43.12696747114376,16.1594963273872,34.67995802728227,86.00770218228499,True
Ture Linden,RPI,F,Sr,44.0,20.0,19.0,39.0,0.8864,10.0,111.0,2.0,5.0,0.0,4.0,26.0,399.0,411.0,49.3,2021-22,F,93.28436516264428,98.74081846799581,93.96642182581321,96.64218258132215,94.38614900314796,43.12696747114376,75.97061909758656,92.86463798530956,56.61103979460847,True
Luke Hughes,Michigan,D,Fr,41.0,17.0,22.0,39.0,0.9512,10.0,97.0,1.0,3.0,0.0,26.0,25.0,0.0,0.0,,2021-22,D,99.42528735632183,100.0,96.36015325670499,97.98850574712644,95.78544061302682,48.75478927203065,98.27586206896551,42.88461538461538,,True
Ethen Frank,Western Michigan,F,Sr,38.0,26.0,13.0,39.0,1.0263,34.0,142.0,6.0,10.0,1.0,15.0,26.0,1.0,3.0,25.0,2021-22,F,96.43231899265477,100.0,82.21406086044072,99.26547743966422,99.63273871983212,91.97271773347325,95.48793284365162,92.86463798530956,14.441591784338895,True
Taylor Ward,Omaha,F,Sr,38.0,19.0,20.0,39.0,1.0263,39.0,99.0,3.0,12.0,0.0,0.0,9.0,0.0,2.0,0.0,2021-22,F,96.43231899265477,98.21615949632738,94.91080797481636,93.07450157397692,99.89506820566632,43.12696747114376,54.98426023084995,39.664218258132216,5.134788189987163,True
Aidan McDonough,Northeastern,F,Jr,38.0,25.0,14.0,39.0,1.0263,44.0,104.0,5.0,6.0,0.0,13.0,25.0,1.0,1.0,50.0,2021-22,F,96.43231899265477,99.89506820566632,85.25708289611752,94.85834207764952,97.2193074501574,43.12696747114376,94.12381951731375,91.97271773347325,61.81001283697047,True
Mike Benning,Denver,D,So,41.0,15.0,23.0,38.0,0.9268,14.0,82.0,5.0,4.0,0.0,32.0,34.0,0.0,0.0,,2021-22,D,99.04214559386973,99.80842911877394,97.03065134099617,95.3065134099617,97.79693486590038,48.75478927203065,99.61685823754789,62.69230769230769,,True
Carter Mazur,Denver,F,Fr,41.0,14.0,24.0,38.0,0.9268,44.0,103.0,1.0,5.0,0.0,23.0,21.0,3.0,6.0,33.3,2021-22,F,94.85834207764952,93.75655823714585,97.53410283315844,94.59601259181531,94.38614900314796,43.12696747114376,98.89821615949633,86.14900314795383,20.410783055198973,True
Lukas Sillinger,Bemidji State,F,So,37.0,17.0,21.0,38.0,1.027,54.0,69.0,1.0,5.0,0.0,7.0,19.0,0.0,0.0,,2021-22,F,96.64218258132215,97.27177334732424,95.64533053515215,77.28226652675761,94.38614900314796,43.12696747114376,84.73242392444911,81.89926547743967,,True
Brett Berard,Providence,F,So,36.0,18.0,20.0,38.0,1.0556,37.0,109.0,6.0,8.0,0.0,10.0,12.0,2.0,0.0,100.0,2021-22,F,97.06190975865687,97.74396642182582,94.91080797481636,96.16998950682057,99.05561385099685,43.12696747114376,90.45120671563484,53.46274921301154,98.01026957637997,True
Max Newton,Merrimack,F,Sr,35.0,14.0,24.0,38.0,1.0857,16.0,74.0,2.0,4.0,0.0,1.0,23.0,431.0,286.0,60.1,2021-22,F,97.4816369359916,93.75655823714585,97.53410283315844,81.21720881427072,89.24449108079749,43.12696747114376,62.48688352570829,89.29695697796433,89.66623876765082,True
Zach Metsa,Quinnipiac,D,Sr,42.0,10.0,27.0,37.0,0.881,8.0,111.0,3.0,0.0,0.0,38.0,28.0,0.0,0.0,,2021-22,D,98.08429118773945,98.85057471264368,99.71264367816092,99.52107279693486,35.24904214559387,48.75478927203065,100.0,48.17307692307693,,True
