Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%,Season,Pos_Group,PtGm_pct,G_pct,A_pct,Shots_pct,PPG_pct,SHG_pct,+/-_pct,Blk_pct,FO_pct,Elite
Grant Docter,Michigan Tech,D,Fr,6.0,0.0,1.0,1.0,0.1667,4.0,13.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,,2021-22,D,39.46360153256705,17.911877394636015,19.731800766283524,23.563218390804597,35.24904214559387,48.75478927203065,45.11494252873563,1.9230769230769231,,False
Donte Lawson,Bemidji State,F,Fr,6.0,0.0,1.0,1.0,0.1667,0.0,2.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,,2021-22,F,21.35362014690451,7.135362014690451,16.002098635886675,3.7250786988457505,26.705141657922347,43.12696747114376,47.95383001049318,13.16894018887723,,False
Matt McKim,Alaska,F,Fr,6.0,0.0,1.0,1.0,0.1667,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2021-22,F,21.35362014690451,7.135362014690451,16.002098635886675,3.7250786988457505,26.705141657922347,43.12696747114376,54.98426023084995,9.548793284365162,,False
Dalton Hunter,Mercyhurst,F,Sr,6.0,0.0,1.0,1.0,0.1667,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,2021-22,F,21.35362014690451,7.135362014690451,16.002098635886675,5.089192025183631,26.705141657922347,43.12696747114376,54.98426023084995,5.823714585519412,,False
Tanner Hopps,Long Island,F,So,5.0,0.0,1.0,1.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2021-22,F,26.862539349422875,7.135362014690451,16.002098635886675,5.089192025183631,26.705141657922347,43.12696747114376,54.98426023084995,5.823714585519412,5.134788189987163,False
Jeppe Urup,Sacred Heart,D,Jr,5.0,0.0,1.0,1.0,0.2,0.0,4.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,,2021-22,D,45.785440613026815,17.911877394636015,19.731800766283524,11.015325670498084,35.24904214559387,48.75478927203065,45.11494252873563,7.98076923076923,,False
Lane Krenzen,Denver,D,Jr,4.0,0.0,1.0,1.0,0.25,4.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,2021-22,D,56.60919540229885,17.911877394636015,19.731800766283524,7.854406130268199,35.24904214559387,48.75478927203065,68.29501915708812,5.384615384615385,,False
Jason Brancheau,Ferris State,F,Jr,4.0,0.0,1.0,1.0,0.25,0.0,2.0,0.0,0.0,0.0,-2.0,1.0,2.0,6.0,25.0,2021-22,F,34.62749213011542,7.135362014690451,16.002098635886675,3.7250786988457505,26.705141657922347,43.12696747114376,41.2906610703043,5.823714585519412,14.441591784338895,False
Matt Allen,Mass.-Lowell,F,So,3.0,1.0,0.0,1.0,0.3333,0.0,3.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,2021-22,F,46.904512067156354,19.884575026232948,5.718782791185729,5.089192025183631,26.705141657922347,43.12696747114376,47.95383001049318,9.548793284365162,5.134788189987163,False
Dante Spagnuolo,Mercyhurst,F,Jr,3.0,0.0,1.0,1.0,0.3333,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2021-22,F,46.904512067156354,7.135362014690451,16.002098635886675,5.089192025183631,26.705141657922347,43.12696747114376,67.89087093389297,1.9412381951731374,,False
Sam Rossini,Minnesota,D,Gr,3.0,0.0,1.0,1.0,0.3333,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2021-22,D,68.39080459770115,17.911877394636015,19.731800766283524,7.854406130268199,35.24904214559387,48.75478927203065,60.05747126436781,1.9230769230769231,,False
Josh Latta,Mass.-Lowell,F,Jr,3.0,0.0,1.0,1.0,0.3333,0.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,42.9,2021-22,F,46.904512067156354,7.135362014690451,16.002098635886675,6.138509968520461,26.705141657922347,43.12696747114376,62.48688352570829,5.823714585519412,34.65982028241335,False
Robert Blueger,Alaska,F,Jr,2.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,50.0,2021-22,F,68.78279118572928,7.135362014690451,16.002098635886675,0.6820566631689402,26.705141657922347,43.12696747114376,62.48688352570829,1.9412381951731374,61.81001283697047,False
Jordan Robert,Clarkson,F,Jr,2.0,1.0,0.0,1.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-22,F,68.78279118572928,19.884575026232948,5.718782791185729,3.7250786988457505,26.705141657922347,43.12696747114376,54.98426023084995,1.9412381951731374,,False
Evan Miller,RIT,F,Fr,2.0,0.0,1.0,1.0,0.5,2.0,2.0,0.0,0.0,0.0,-1.0,1.0,4.0,6.0,40.0,2021-22,F,68.78279118572928,7.135362014690451,16.002098635886675,3.7250786988457505,26.705141657922347,43.12696747114376,47.95383001049318,5.823714585519412,28.305519897304237,False
Bryce Dolan,Holy Cross,D,Sr,35.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,-8.0,34.0,1.0,7.0,12.5,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,20.21072796934866,35.24904214559387,48.75478927203065,16.85823754789272,62.69230769230769,51.45631067961165,False
Jack Robilotti,Holy Cross,D,So,33.0,0.0,0.0,0.0,0.0,43.0,31.0,0.0,0.0,0.0,-11.0,32.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,46.934865900383144,35.24904214559387,48.75478927203065,10.24904214559387,58.557692307692314,,False
Powell Connor,Michigan State,D,So,28.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,-12.0,47.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,18.007662835249043,35.24904214559387,48.75478927203065,8.333333333333332,83.65384615384616,,False
R.J. Murphy,Harvard,F,Sr,28.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,-8.0,7.0,2.0,4.0,33.3,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,9.44386149003148,26.705141657922347,43.12696747114376,16.1594963273872,29.905561385099684,20.410783055198973,False
Jasper Lester,Air Force,D,Fr,27.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,-4.0,11.0,0.0,4.0,0.0,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,21.455938697318008,35.24904214559387,48.75478927203065,29.50191570881226,22.692307692307693,25.728155339805824,False
Tony Follmer,Bemidji State,D,Fr,26.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,-5.0,23.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,14.942528735632186,35.24904214559387,48.75478927203065,25.57471264367816,38.65384615384615,,False
Grant Hindman,Lake Superior,D,Fr,25.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,-4.0,17.0,2.0,0.0,100.0,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,22.701149425287355,35.24904214559387,48.75478927203065,29.50191570881226,31.826923076923073,86.40776699029125,False
Douglas Scott,RIT,D,Fr,23.0,0.0,0.0,0.0,0.0,32.0,11.0,0.0,0.0,0.0,-12.0,7.0,0.0,1.0,0.0,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,21.455938697318008,35.24904214559387,48.75478927203065,8.333333333333332,17.403846153846153,25.728155339805824,False
Noah Wakeford,Brown,F,Fr,23.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,7.974816369359916,26.705141657922347,43.12696747114376,47.95383001049318,5.823714585519412,,False
Brendan Clark,Brown,F,Fr,22.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,5.089192025183631,26.705141657922347,43.12696747114376,41.2906610703043,1.9412381951731374,5.134788189987163,False
Noah Carlin,Niagara,D,Fr,22.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,-5.0,10.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,18.007662835249043,35.24904214559387,48.75478927203065,25.57471264367816,21.826923076923077,,False
Connor Sweeney,New Hampshire,F,Fr,22.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,-5.0,2.0,21.0,41.0,33.9,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,14.742917103882478,26.705141657922347,43.12696747114376,25.603357817418676,9.548793284365162,22.849807445442877,False
Daniel Ebrahim,Sacred Heart,F,Fr,21.0,0.0,0.0,0.0,0.0,21.0,23.0,0.0,0.0,0.0,-3.0,3.0,1.0,0.0,100.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,25.70828961175236,26.705141657922347,43.12696747114376,35.30954879328437,13.16894018887723,98.01026957637997,False
Andrew Sinard,Miami,D,Sr,21.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,-3.0,15.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,14.942528735632186,35.24904214559387,48.75478927203065,33.33333333333333,28.846153846153843,,False
Brett Edwards,Denver,F,Jr,21.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,7.974816369359916,26.705141657922347,43.12696747114376,54.98426023084995,13.16894018887723,5.134788189987163,False
Steven Agriogianis,Northeastern,F,So,20.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,-1.0,3.0,39.0,39.0,50.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,9.44386149003148,26.705141657922347,43.12696747114376,47.95383001049318,13.16894018887723,61.81001283697047,False
Wyatt Schingoethe,Western Michigan,F,Fr,20.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,-5.0,2.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,7.974816369359916,26.705141657922347,43.12696747114376,25.603357817418676,9.548793284365162,,False
Gabe Blanchard,Mass.-Lowell,D,Fr,19.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,21.455938697318008,35.24904214559387,48.75478927203065,53.16091954022989,19.423076923076923,,False
Trevor Russell,Michigan Tech,D,Fr,18.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,-1.0,13.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,18.007662835249043,35.24904214559387,48.75478927203065,45.11494252873563,25.48076923076923,,False
Henri Schreifels,RPI,F,So,18.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-4.0,6.0,15.0,15.0,50.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,18.3105981112277,26.705141657922347,43.12696747114376,30.220356768100736,25.445960125918155,61.81001283697047,False
Brayden Morrison,Wisconsin,F,Fr,18.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,-4.0,3.0,8.0,8.0,50.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,14.742917103882478,26.705141657922347,43.12696747114376,30.220356768100736,13.16894018887723,61.81001283697047,False
Luke LaMaster,Wisconsin,D,So,17.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,-5.0,15.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,30.17241379310345,35.24904214559387,48.75478927203065,25.57471264367816,28.846153846153843,,False
Matt Clark,Bentley,D,So,16.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,-3.0,7.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,7.854406130268199,35.24904214559387,48.75478927203065,33.33333333333333,17.403846153846153,,False
Daniel Colabufo,Holy Cross,F,Fr,15.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,-4.0,8.0,66.0,79.0,45.5,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,22.140608604407134,26.705141657922347,43.12696747114376,30.220356768100736,34.67995802728227,43.838254172015404,False
Bradley Cocca,Brown,F,Jr,14.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,21.30115424973767,26.705141657922347,43.12696747114376,25.603357817418676,1.9412381951731374,,False
Emil Westerlund,Maine,F,Sr,14.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,0.0,-1.0,5.0,6.0,10.0,37.5,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,17.366211962224554,26.705141657922347,43.12696747114376,47.95383001049318,20.98635886673662,25.35301668806162,False
Tommy Lyons,Harvard,F,Fr,14.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,40.0,50.0,44.4,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,2.098635886673662,26.705141657922347,43.12696747114376,54.98426023084995,9.548793284365162,40.05134788189987,False
Nicholas Cardelli,Bemidji State,F,Sr,14.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,-5.0,2.0,0.0,1.0,0.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,11.017838405036725,26.705141657922347,43.12696747114376,25.603357817418676,9.548793284365162,5.134788189987163,False
Chase McInnis,Northeastern,F,Fr,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,2.098635886673662,26.705141657922347,43.12696747114376,54.98426023084995,5.823714585519412,5.134788189987163,False
Jack Lagerstrom,Cornell,D,So,14.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,26.915708812260537,35.24904214559387,48.75478927203065,60.05747126436781,14.423076923076922,,False
Fletcher Fineman,Union,D,Sr,14.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,14.942528735632186,35.24904214559387,48.75478927203065,53.16091954022989,28.846153846153843,,False
Shayne Monahan,St. Thomas,D,Sr,13.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,-11.0,12.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,14.942528735632186,35.24904214559387,48.75478927203065,10.24904214559387,23.942307692307693,,False
Carsen Richels,New Hampshire,F,So,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-4.0,6.0,1.0,0.0,100.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,11.017838405036725,26.705141657922347,43.12696747114376,30.220356768100736,25.445960125918155,98.01026957637997,False
Alexander Lundman,Bemidji State,F,Fr,12.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,13.378803777544595,26.705141657922347,43.12696747114376,75.97061909758656,1.9412381951731374,,False
Connor Fedorek,Ferris State,D,Jr,12.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,-8.0,6.0,0.0,3.0,0.0,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,18.007662835249043,35.24904214559387,48.75478927203065,16.85823754789272,15.865384615384615,25.728155339805824,False
Jack Hillman,Holy Cross,D,Fr,12.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,-2.0,4.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,7.854406130268199,35.24904214559387,48.75478927203065,38.40996168582376,12.403846153846153,,False
Marcus Walter,Bentley,D,Jr,12.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,-3.0,14.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,18.007662835249043,35.24904214559387,48.75478927203065,33.33333333333333,27.21153846153846,,False
Josh Phillips,Union,D,Fr,12.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,16.47509578544061,35.24904214559387,48.75478927203065,60.05747126436781,17.403846153846153,,False
Karl Falk,Alaska,D,Fr,12.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,9.578544061302683,35.24904214559387,48.75478927203065,53.16091954022989,10.096153846153847,,False
Azzaro Tinling,Vermont,F,So,11.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,5.089192025183631,26.705141657922347,43.12696747114376,41.2906610703043,5.823714585519412,,False
Michael Kane,Holy Cross,F,So,11.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,11.017838405036725,26.705141657922347,43.12696747114376,47.95383001049318,9.548793284365162,5.134788189987163,False
Devlin O'Brien,Merrimack,F,Fr,11.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,20.30430220356768,26.705141657922347,43.12696747114376,62.48688352570829,20.98635886673662,,False
Cassidy Bowes,Connecticut,F,So,11.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,-4.0,2.0,13.0,12.0,52.0,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,10.335781741867786,26.705141657922347,43.12696747114376,30.220356768100736,9.548793284365162,72.97817715019256,False
Linden Alger,Massachusetts,D,So,11.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,5.363984674329502,35.24904214559387,48.75478927203065,38.40996168582376,5.384615384615385,,False
Jake Martin,Wisconsin,D,Fr,11.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,-2.0,7.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,18.007662835249043,35.24904214559387,48.75478927203065,38.40996168582376,17.403846153846153,,False
Jack Works,Denver,F,So,10.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,21.0,30.0,41.2,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,10.335781741867786,26.705141657922347,43.12696747114376,54.98426023084995,5.823714585519412,30.937098844672654,False
Connor Marshall,Brown,F,Jr,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0,4.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,6.138509968520461,26.705141657922347,43.12696747114376,47.95383001049318,16.94648478488982,,False
Justin Thompson,Long Island,F,Fr,10.0,0.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,-3.0,2.0,3.0,5.0,37.5,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,7.974816369359916,26.705141657922347,43.12696747114376,35.30954879328437,9.548793284365162,25.35301668806162,False
Darwin Lakoduk,American Int'l,F,Jr,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-2.0,3.0,16.0,29.0,35.6,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,6.138509968520461,26.705141657922347,43.12696747114376,41.2906610703043,13.16894018887723,23.876765083440308,False
Matt Vermaeten,Canisius,F,Fr,10.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,-1.0,2.0,2.0,15.0,11.8,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,3.7250786988457505,26.705141657922347,43.12696747114376,47.95383001049318,9.548793284365162,10.526315789473683,False
Reggie Millette,American Int'l,F,Fr,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,-2.0,3.0,7.0,8.0,46.7,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,9.44386149003148,26.705141657922347,43.12696747114376,41.2906610703043,13.16894018887723,47.881899871630296,False
Louie Helsen,RPI,D,Jr,9.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,11.015325670498084,35.24904214559387,48.75478927203065,72.70114942528735,17.403846153846153,25.728155339805824,False
Andrew Petrillo,Vermont,D,Sr,9.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,7.854406130268199,35.24904214559387,48.75478927203065,38.40996168582376,5.384615384615385,,False
Grant Anderson,Sacred Heart,D,So,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-5.0,7.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,11.015325670498084,35.24904214559387,48.75478927203065,25.57471264367816,17.403846153846153,,False
Jack Lyons,Canisius,D,So,8.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,9.578544061302683,35.24904214559387,48.75478927203065,60.05747126436781,19.423076923076923,,False
Will Schimek,Providence,D,Fr,8.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,9.578544061302683,35.24904214559387,48.75478927203065,45.11494252873563,10.096153846153847,,False
Steven Bellini,Minnesota State,D,Fr,8.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,9.578544061302683,35.24904214559387,48.75478927203065,68.29501915708812,10.096153846153847,,False
Cameron Gaudette,Northeastern,D,Fr,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,2.0114942528735633,35.24904214559387,48.75478927203065,45.11494252873563,7.98076923076923,,False
Jakob Peterson,Northern Michigan,D,Fr,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,-1.0,4.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,7.854406130268199,35.24904214559387,48.75478927203065,45.11494252873563,12.403846153846153,,False
Spencer DenBeste,Lake Superior,F,So,7.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,10.335781741867786,26.705141657922347,43.12696747114376,30.220356768100736,1.9412381951731374,,False
Thomas Rocco,St. Cloud State,F,Jr,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,6.925498426023085,26.705141657922347,43.12696747114376,71.8258132214061,9.548793284365162,,False
Jake Rosenbaum,Minnesota-Duluth,D,Sr,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,5.363984674329502,35.24904214559387,48.75478927203065,53.16091954022989,10.096153846153847,,False
Merritt Oszytko,RIT,F,Sr,7.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,5.089192025183631,26.705141657922347,43.12696747114376,54.98426023084995,25.445960125918155,,False
Ian Malcolmson,Northern Michigan,F,So,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,4.0,31.0,34.0,47.7,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,2.098635886673662,26.705141657922347,43.12696747114376,35.30954879328437,16.94648478488982,52.24646983311938,False
Brock Paul,Dartmouth,D,Jr,7.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,-3.0,1.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,7.854406130268199,35.24904214559387,48.75478927203065,33.33333333333333,5.384615384615385,,False
Matt Hayami,Princeton,F,Jr,7.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,6.138509968520461,26.705141657922347,43.12696747114376,19.67471143756558,1.9412381951731374,,False
Drew Hickey,New Hampshire,D,Sr,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,5.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,2.0114942528735633,35.24904214559387,48.75478927203065,33.33333333333333,14.423076923076922,,False
Brady Bjork,Notre Dame,F,So,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,0.6820566631689402,26.705141657922347,43.12696747114376,54.98426023084995,1.9412381951731374,,False
Ryan Lovett,Dartmouth,F,So,6.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,,2021-22,F,3.620146904512067,7.135362014690451,5.718782791185729,2.098635886673662,26.705141657922347,43.12696747114376,47.95383001049318,1.9412381951731374,,False
James Davenport,Northeastern,D,So,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,7.854406130268199,35.24904214559387,48.75478927203065,53.16091954022989,10.096153846153847,,False
Shay Donovan,Wisconsin,D,Jr,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-2.0,3.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,12.835249042145595,35.24904214559387,48.75478927203065,38.40996168582376,10.096153846153847,,False
Michael Suda,Cornell,D,Fr,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,12.835249042145595,35.24904214559387,48.75478927203065,45.11494252873563,5.384615384615385,,False
Alex Murray,Miami,D,Fr,6.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,,2021-22,D,6.992337164750957,17.911877394636015,7.662835249042145,5.363984674329502,35.24904214559387,48.75478927203065,45.11494252873563,5.384615384615385,,False
